"1pm",10202.233,9155.662,8628.764,2536.229,3103.465,16471.461,957.36,2744.924,1893.361,4560.298,2319.909,6766.651,6291.758,4323.613,5008.149,398.127,1573.516,9625.235,10032.873,650.952,15320.801,5542.577,536.013,1257.944,1231.127,5279.843,5746.258,1008.111,2885.206,5239.582,2676.219,2942.976,5503.212,639.369,752.749,2620.722,1016.725,948.662,1317.897,1213.047,1931.664,782.887,1399.405,820.853,0,760.868,3340.052,1404.851,1588.876,5935.315,654.883,533.375,595.659,556.636,748.363,1596.901,773.957,673.646,924.985,2157.933,6688.878,0,1704.832,458.551,462.436,431.991,0,2644.64,3160.74,1161.622,1346.165,0,877.846,2722.047,720.783,1253.954,1329.949,302.057
"2pm",11732.516,10505.942,9827.467,3054.777,3138.696,16158.022,1345.355,2619.143,2053.468,5434.415,2362.614,7067.394,6221.064,4670.04,5883.774,526.473,2022.84,9701.231,10423.257,725.607,15777.544,6544.699,563.911,1287.808,1631.097,5189.391,7402.769,1397.221,2424.58,6128.014,3979.029,2466.754,6102.738,839.96,698.756,2934.887,1271.767,902.44,1503.84,1005.743,2156.289,873.257,1609.458,1013.732,1290.113,877.201,3601.589,1594.105,1719.944,6240.736,1009.373,579.994,743.882,721.265,831.195,1591.373,788.505,646.815,970.546,2366.651,7557.735,528.572,2006.029,518.342,616.731,445.481,0,2811.656,3527.974,1258.043,1512.987,330.976,823.347,3281.394,842.375,1309.585,1515.014,330.91
"3pm",12862.757,9589.324,9722.562,2931.6,2638.202,15855.16,907.762,2449.726,1903.644,5131.848,2439.649,6379.923,5737.414,4506.364,5811.773,1003.484,1742.243,8085.471,9864.17,638.967,15038.878,6597.036,533.273,1084.677,1484.611,5727.262,7785.531,1560.024,2348.781,6260.692,4595.014,2583.315,5438.112,783.184,608.744,2563.767,1037.848,897.288,1477.066,1153.74,2045.592,908.52,1427.284,926.047,1162.424,1031.622,3726.163,1759.932,1735.047,6066.84,813.825,599.298,803.152,770.633,959.878,1674.05,697.119,899.953,1026.188,2221.528,7913.666,602.862,2176.737,742.189,715.147,463.199,0,2773.472,3482.114,1155.462,1078.253,445.067,1054.771,3089.008,967.604,979.068,1638.261,292.714
"4pm",9654.098,8509.718,8010.294,2800.153,2455.894,13102.349,1098.731,2179.905,1457.619,3404.052,2700.405,4677.995,4493.374,3775.772,5321.025,733.626,1463.611,7136.924,7949.77,612.128,11624.902,5812.441,0,830.154,1475.016,5218.134,6296.129,1385.879,1902.565,4849.046,4477.734,2770.48,4136.994,717.718,616.261,2043.115,712.309,809.35,1070.689,1083.345,1824.076,483.343,1197.709,894.195,0,661.544,3075.762,1407.615,1656.771,5247.186,963.784,628.366,586.308,593.37,935.413,1441.745,0,787.582,924.765,1634.734,5862.757,609.734,1971.744,607.764,0,356.83,0,2109.047,3417.7,1097.584,1123.926,0,748.153,2363.398,760.96,494.74,1418.923,0
"5pm",7788.549,6100.808,4983.013,2227.232,1624.446,8661.462,867.152,1090.776,1197.422,2041.248,1587.209,2612.774,2540.658,2366.503,3247.275,0,920.096,4085.262,5663.38,0,6967.482,4457.429,0,501.32,1087.508,3657.931,4421.911,567.566,1349.707,4159.797,3193.88,2029.368,3055.02,828.086,771.755,1802.388,442.883,0,666.494,606.508,1286.311,0,508.203,570.728,0,0,2221.285,1201.958,682.171,3385.532,708.632,0,0,0,465.63,863.181,0,0,657.057,1047.952,3991.03,494.929,1608.664,478.598,362.427,0,0,1175.224,2045.365,633.442,835.281,311.006,0,1992.195,617.202,0,722.062,0
"6pm",5155.641,3819.469,2071.868,1163.558,1068.879,3553.038,0,932.723,519.117,1234.81,585.825,1187.865,1214.328,1526.531,2220.578,0,523.112,2492.853,3425.907,0,4123.209,2658.882,0,0,644.572,1342.639,3462.317,614.558,818.281,2239.513,2431.844,860.829,1828.8,0,0,1310.669,533.553,0,0,0,973.839,0,0,0,0,0,1272.965,684.829,0,1920.374,804.214,0,0,0,0,387.846,0,0,0,0,2017.357,0,1538.322,230.043,0,0,0,677.42,942.478,452.284,537.698,0,0,0,0,0,0,0
"7pm",4940.318,2579.004,1770.985,755.075,824.266,1720.989,0,870.394,0,1076.25,0,564.783,584.251,1156.328,1955.325,0,0,1809.896,2087.706,0,1826.748,1397.506,0,0,638.66,970.114,2416.836,0,911.175,2117.609,1209.845,1212.384,1026.187,0,746.133,1154.538,0,0,0,0,929.719,0,0,0,0,0,0,563.773,0,1120.424,0,0,0,0,0,0,0,0,0,0,1793.174,0,369.791,0,0,0,0,0,812.464,0,0,0,0,0,0,0,0,0
"8pm",4671.328,3258.51,2330.606,955.698,929.272,1405.439,0,831.592,0,1278.468,0,589.92,0,799.997,1420.323,0,0,1520.145,1150.012,0,942.06,1267.659,0,0,0,731.613,1263.417,0,0,2319.997,798.854,431.981,666.284,0,0,971.536,0,0,0,0,0,0,0,0,0,0,0,0,0,820.862,0,0,0,0,0,0,0,0,0,0,1493.369,0,252.768,0,0,0,0,332.783,618.203,0,462.253,0,0,0,0,0,0,0
"9pm",3974.276,2950.466,2240.352,808.727,835.477,1111.772,0,0,0,1137.988,0,765.234,0,647.15,1283.563,0,0,1472.909,608.304,0,0,1122.497,0,0,0,0,1226.066,0,0,931.132,0,0,0,0,0,1046.435,0,0,0,0,0,0,0,0,0,0,0,0,0,474.632,0,0,0,0,0,0,0,0,0,0,1297.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10pm",2954.896,2559.707,1343.347,650.855,464.071,671.07,0,0,0,0,0,556.19,0,0,860.24,0,0,1001.852,0,0,0,526.579,0,0,0,0,421.162,0,0,650.916,0,0,0,0,0,945.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11pm",1754.692,1573.56,0,0,410.446,0,0,0,0,0,0,0,0,0,0,0,0,805.336,0,0,0,474.699,0,0,0,0,0,0,0,0,0,0,0,0,0,775.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",1296.816,809.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729.369,0,0,0,451.101,0,0,0,0,0,0,0,0,0,0,0,0,0,696.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",759.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
