"district","hour","age1","age2","age3","age4"
"066","5am",9.566831,10.941953,34.26752,45.2237
"067","5am",4.348246,2.81402,36.28199,56.55575
"068","5am",6.773881,7.976388,46.87354,38.37619
"069","5am",0,0,24.69985,75.30015
"070","5am",NA,NA,NA,NA
"071","5am",0,0,100,0
"072","5am",NA,NA,NA,NA
"073","5am",NA,NA,NA,NA
"074","5am",7.926273,3.559088,67.57903,20.93561
"075","5am",9.670643,6.337659,65.37807,18.61362
"076","5am",18.847245,8.0057,59.30831,13.83874
"077","5am",20.986859,2.626386,62.58188,13.80487
"078","5am",15.019164,13.426649,45.42175,26.13244
"079","5am",8.383678,9.896417,38.89962,42.82028
"080","5am",0,40.09268,0,59.90732
"081","5am",0,100,0,0
"082","5am",7.491427,2.54589,60.29387,29.66881
"083","5am",11.094045,12.130104,43.52245,33.2534
"084","5am",3.637969,12.074372,57.8767,26.41096
"085","5am",8.362533,15.85132,46.59187,29.19428
"086","5am",8.343586,11.302927,53.29711,27.05637
"087","5am",11.320486,19.467951,51.13686,18.07471
"088","5am",12.609545,7.854851,56.34705,23.18855
"089","5am",12.098101,14.663211,55.95597,17.28272
"090","5am",11.836399,6.527303,54.94718,26.68912
"091","5am",14.033955,8.845061,52.85331,24.26767
"092","5am",6.960952,7.31451,47.69016,38.03438
"093","5am",7.402182,7.809351,57.24773,27.54074
"094","5am",8.003134,7.373992,50.39013,34.23274
"095","5am",7.514136,12.161335,40.98386,39.34067
"096","5am",15.422772,13.834181,37.78912,32.95393
"097","5am",5.661275,5.525898,46.95924,41.85359
"098","5am",4.604699,6.769492,47.54056,41.08525
"099","5am",2.518087,6.225218,42.84503,48.41167
"100","5am",2.375811,7.023682,36.02931,54.5712
"101","5am",NA,NA,NA,NA
"102","5am",NA,NA,NA,NA
"103","5am",0,0,100,0
"104","5am",8.262021,8.306876,45.81583,37.61527
"001","6am",15.308355,11.465968,41.74377,31.48191
"002","6am",10.278987,12.921577,53.56633,23.23311
"003","6am",7.806342,5.94228,38.29782,47.95355
"004","6am",13.639324,13.118686,33.74772,39.49427
"005","6am",10.405173,18.802306,44.96517,25.82735
"006","6am",10.128238,12.447144,48.15337,29.27125
"007","6am",11.559581,11.737386,48.04586,28.65718
"008","6am",9.765207,8.872866,47.8619,33.50002
"009","6am",13.863661,14.897819,42.05294,29.18558
"010","6am",9.552791,12.988931,38.9143,38.54398
"011","6am",8.01046,11.136375,35.06534,45.78782
"012","6am",9.867993,12.942436,40.09142,37.09815
"013","6am",17.427774,5.453486,43.37539,33.74335
"014","6am",8.586787,10.800152,61.09615,19.51691
"015","6am",8.565625,17.564783,47.65978,26.20982
"016","6am",9.437943,6.492518,50.32103,33.74851
"017","6am",9.018932,11.732234,50.18717,29.06166
"018","6am",10.743156,8.37737,46.26714,34.61233
"019","6am",11.65451,12.945806,45.07316,30.32653
"020","6am",14.753844,8.399257,49.94925,26.89765
"021","6am",3.737529,5.618506,44.84857,45.7954
"022","6am",22.626483,8.859581,32.85197,35.66197
"023","6am",19.728397,11.60293,42.85758,25.81109
"024","6am",6.449024,10.553033,43.24364,39.7543
"025","6am",14.297134,9.047328,43.82074,32.8348
"026","6am",12.739288,9.351698,47.87132,30.0377
"027","6am",13.849564,10.932852,53.2711,21.94649
"028","6am",8.435184,4.080101,37.19195,50.29277
"029","6am",9.803552,10.48633,47.61217,32.09794
"030","6am",10.327307,8.896197,55.37744,25.39906
"031","6am",14.029596,12.584512,50.25207,23.13382
"032","6am",9.319236,7.93306,54.61827,28.12943
"033","6am",12.439268,7.382373,44.97763,35.20073
"034","6am",12.564263,5.30185,45.20496,36.92893
"035","6am",9.530254,10.634414,65.54912,14.28621
"036","6am",14.393547,11.604732,50.07407,23.92765
"037","6am",9.185007,10.461154,44.61606,35.73778
"038","6am",7.213988,8.093281,47.99591,36.69682
"039","6am",10.395018,9.086497,39.44283,41.07566
"040","6am",14.282102,4.752277,54.05507,26.91055
"041","6am",13.792852,8.515727,52.62059,25.07083
"042","6am",15.065397,9.87861,52.66115,22.39484
"043","6am",7.979075,6.462635,62.00962,23.54867
"044","6am",10.56719,6.020813,55.84605,27.56595
"045","6am",7.775195,8.309209,65.19669,18.71891
"046","6am",7.589122,9.065894,56.17472,27.17027
"047","6am",8.998007,10.9629,43.91945,36.11964
"048","6am",7.524611,12.822477,41.88963,37.76328
"049","6am",4.06295,6.294891,38.73151,50.91065
"050","6am",12.777039,10.037468,45.14367,32.04182
"051","6am",7.292153,8.62221,42.86998,41.21565
"052","6am",4.09345,10.12092,63.56234,22.22329
"053","6am",8.678298,8.589068,61.13318,21.59946
"054","6am",8.681229,12.33909,48.05641,30.92327
"055","6am",12.029447,12.05379,56.87173,19.04503
"056","6am",12.07765,7.318577,52.86919,27.73458
"057","6am",15.178941,9.695352,48.93374,26.19197
"058","6am",7.111804,13.428999,51.94298,27.51622
"059","6am",8.845235,7.009801,40.02753,44.11743
"060","6am",14.110426,6.715212,49.67086,29.5035
"061","6am",3.280677,11.451958,50.98585,34.28152
"062","6am",11.143523,6.114344,63.82933,18.9128
"063","6am",6.353397,10.715014,54.96148,27.97011
"064","6am",12.324596,7.34596,43.79924,36.5302
"065","6am",7.10748,4.210479,45.30929,43.37276
"066","6am",9.607756,10.654458,34.32063,45.41716
"067","6am",4.348246,2.81402,36.28199,56.55575
"068","6am",6.831645,6.062527,48.40239,38.70344
"069","6am",0,0,24.69985,75.30015
"070","6am",NA,NA,NA,NA
"071","6am",0,0,100,0
"072","6am",0,0,100,0
"073","6am",NA,NA,NA,NA
"074","6am",8.265444,3.711383,66.19171,21.83146
"075","6am",8.873244,6.032427,66.16088,18.93345
"076","6am",18.120249,8.9697,59.27838,13.63168
"077","6am",18.953048,2.023698,64.95345,14.0698
"078","6am",14.316459,15.659259,44.55012,25.47416
"079","6am",8.352447,9.859551,39.12723,42.66077
"080","6am",0,26.286291,0,73.71371
"081","6am",0,100,0,0
"082","6am",5.423049,2.135901,60.01589,32.42516
"083","6am",9.598491,12.173287,43.86082,34.3674
"084","6am",2.988478,12.442591,57.35254,27.21639
"085","6am",8.39242,13.528406,48.78056,29.29862
"086","6am",8.676677,11.112022,53.20041,27.01089
"087","6am",10.598578,18.153104,51.34169,19.90663
"088","6am",12.491042,8.267588,55.90582,23.33555
"089","6am",11.66983,14.147065,57.51219,16.67091
"090","6am",12.689904,6.461966,54.42616,26.42197
"091","6am",12.60305,8.005878,54.27157,25.1195
"092","6am",7.179221,6.440119,47.15367,39.22699
"093","6am",7.459812,7.870151,56.91488,27.75516
"094","6am",6.975643,7.734558,50.19611,35.09369
"095","6am",7.573306,12.257099,40.51914,39.65046
"096","6am",14.677937,13.623554,39.03959,32.65892
"097","6am",5.695579,5.559382,46.63784,42.1072
"098","6am",4.488781,7.16626,48.29398,40.05098
"099","6am",2.534999,6.267029,42.9874,48.21058
"100","6am",2.287882,6.763735,38.39688,52.55151
"101","6am",NA,NA,NA,NA
"102","6am",0,0,100,0
"103","6am",0,0,100,0
"104","6am",8.46238,7.892799,45.11736,38.52747
"001","7am",13.212116,12.661724,46.48499,27.64117
"002","7am",11.043351,14.554345,54.28403,20.11827
"003","7am",7.481763,6.569551,35.96588,49.9828
"004","7am",12.022164,11.911471,37.30689,38.75948
"005","7am",12.461635,16.006426,42.20259,29.32935
"006","7am",15.574772,10.632216,46.51032,27.28269
"007","7am",28.109702,8.041913,42.65783,21.19056
"008","7am",7.9123,8.928609,46.2434,36.9157
"009","7am",27.983646,11.175037,36.38281,24.45851
"010","7am",19.743067,11.322667,33.91564,35.01863
"011","7am",7.843391,11.013432,32.69299,48.45018
"012","7am",8.056642,13.068634,39.79637,39.07836
"013","7am",15.228837,8.09539,39.70937,36.9664
"014","7am",10.77927,10.084832,58.44886,20.68704
"015","7am",17.978088,17.846847,41.76897,22.40609
"016","7am",7.314405,3.849302,52.38184,36.45445
"017","7am",5.898164,12.964107,51.22499,29.91274
"018","7am",10.86294,7.773902,41.46315,39.9
"019","7am",8.895119,13.897919,38.20615,39.00081
"020","7am",19.78339,10.14727,44.53215,25.5372
"021","7am",11.428021,4.026666,41.50195,43.04336
"022","7am",18.656073,8.929406,34.06507,38.34945
"023","7am",11.549796,16.71131,44.76747,26.97142
"024","7am",11.606322,8.068505,43.78268,36.54249
"025","7am",9.596683,9.131862,43.05364,38.21781
"026","7am",5.993879,11.036414,44.71254,38.25717
"027","7am",9.689688,10.216835,52.859,27.23448
"028","7am",6.459479,3.034816,36.48661,54.01909
"029","7am",7.615975,9.721586,46.09956,36.56288
"030","7am",12.897667,10.884293,54.06862,22.14942
"031","7am",11.597708,10.583262,58.69291,19.12612
"032","7am",6.872074,9.135572,50.70637,33.28598
"033","7am",11.445749,5.899629,41.55908,41.09554
"034","7am",7.561653,5.140777,40.16211,47.13546
"035","7am",16.002752,11.220446,61.43548,11.34132
"036","7am",12.696319,12.496101,48.2394,26.56818
"037","7am",9.573682,7.298494,43.59692,39.5309
"038","7am",8.246172,8.234107,48.74313,34.77659
"039","7am",7.058916,9.214007,41.60606,42.12102
"040","7am",8.631885,5.712463,54.2857,31.36995
"041","7am",13.240118,2.467615,53.57907,30.7132
"042","7am",10.965089,9.890978,58.1685,20.97543
"043","7am",5.114646,4.798698,61.42045,28.66621
"044","7am",7.084501,7.418424,52.79488,32.7022
"045","7am",4.856199,7.045142,67.91993,20.17873
"046","7am",7.464472,11.03387,51.56641,29.93525
"047","7am",20.784831,9.345704,37.44913,32.42034
"048","7am",6.534854,9.381817,46.442,37.64132
"049","7am",2.042533,5.104445,38.08297,54.77005
"050","7am",7.693078,10.190269,44.92863,37.18802
"051","7am",5.963758,9.047065,43.71244,41.27674
"052","7am",3.728076,8.472531,62.66103,25.13836
"053","7am",4.673486,10.19167,60.45405,24.68079
"054","7am",7.173488,11.352812,47.88915,33.58455
"055","7am",7.887857,12.402777,60.79373,18.91564
"056","7am",11.282501,4.806971,54.15134,29.75918
"057","7am",10.313577,7.581168,49.46948,32.63577
"058","7am",5.805627,10.021697,55.60257,28.5701
"059","7am",8.973637,7.513651,38.77652,44.7362
"060","7am",17.653144,6.891493,46.31511,29.14026
"061","7am",7.934212,11.250583,44.49029,36.32491
"062","7am",11.709068,9.619883,62.51971,16.15133
"063","7am",5.490321,10.570234,51.13206,32.80739
"064","7am",2.824366,5.384044,60.77502,31.01657
"065","7am",5.442138,5.155657,39.18242,50.21979
"066","7am",15.854826,8.099906,35.72297,40.32229
"067","7am",6.364082,1.235517,37.50543,54.89497
"068","7am",9.654883,7.576802,49.46096,33.30735
"069","7am",0,0,24.69985,75.30015
"070","7am",50.78711,0,49.21289,0
"071","7am",0,0,100,0
"072","7am",0,70.737151,29.26285,0
"073","7am",69.501049,0,30.49895,0
"074","7am",5.333066,4.578483,63.15645,26.932
"075","7am",5.660662,5.261154,64.76246,24.31573
"076","7am",18.01409,11.987682,59.36682,10.63141
"077","7am",18.026793,5.766078,61.45582,14.75131
"078","7am",12.812066,12.862524,43.45683,30.86858
"079","7am",8.421809,9.058802,36.81639,45.703
"080","7am",0,18.048182,31.33994,50.61187
"081","7am",0,12.444384,87.55562,0
"082","7am",5.784079,2.278095,57.35401,34.58381
"083","7am",6.811492,11.832712,42.41456,38.94124
"084","7am",8.50141,9.834616,52.18308,29.48089
"085","7am",15.962981,10.794333,46.72665,26.51604
"086","7am",4.096842,21.702161,44.86286,29.33814
"087","7am",21.757344,16.582725,42.24902,19.41091
"088","7am",8.238688,6.866091,57.3238,27.57142
"089","7am",13.282533,13.579032,56.09668,17.04176
"090","7am",5.412397,10.567904,57.66391,26.35579
"091","7am",8.019857,7.669739,52.9944,31.316
"092","7am",5.418558,6.01661,49.17774,39.38709
"093","7am",5.572697,10.981708,52.65587,30.78972
"094","7am",6.630252,5.965388,47.7045,39.69986
"095","7am",7.259869,10.730813,38.7027,43.30661
"096","7am",12.142426,13.910405,41.96167,31.9855
"097","7am",8.181103,7.051316,46.2026,38.56498
"098","7am",16.171962,7.252756,42.0608,34.51448
"099","7am",5.357613,7.06673,39.96355,47.61211
"100","7am",3.135812,5.821533,43.85847,47.18418
"101","7am",0,0,100,0
"102","7am",0,0,100,0
"103","7am",0,0,100,0
"104","7am",6.731616,8.839596,44.01227,40.41652
