"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"022","7am",346.026,1592.783,1076.502,971.811
"023","7am",1202.379,2978.381,886.216,237.771
"024","7am",764.331,1233.926,1044.758,2912.195
"025","7am",702.555,1455.686,1925.257,1463.967
"026","7am",1143.034,1821.225,548.726,1397.097
"027","7am",493.464,1641.784,1057.768,2096.57
"028","7am",465.625,1659.732,1344.483,1548.695
"029","7am",304.621,1448.641,1812.898,1978.768
"030","7am",953.861,1910.097,933.57,936.194
"031","7am",1142.419,3804.526,1091.318,882.557
"032","7am",1209.681,1394.168,1398.051,1058.655
"033","7am",875.236,1673.243,935.007,295.525
"034","7am",526.944,753.933,400.957,462.43
"035","7am",956.555,2393.836,2712.645,1756.088
"036","7am",1117.203,2843.152,1404.348,1340.204
"037","7am",1049.458,1887.883,1668.073,1104.48
"038","7am",342.217,1515.981,1221.347,913.989
"039","7am",636.411,2670.874,913.338,2466.658
"040","7am",823.526,1437.878,654.754,618.086
"041","7am",560.866,2370.219,911.232,364.051
"042","7am",628.539,1832.574,299.031,138.833
"043","7am",906.091,3031.035,1004.603,604.311
"044","7am",346.933,1813.937,650.317,590.227
"045","7am",443.981,1711.566,1088.738,1433.965
"046","7am",916.38,2763.16,1027.533,2163.016
"047","7am",559.875,2371.95,1379.971,1341.585
"048","7am",901.094,1957.563,1397.599,1693.572
"049","7am",1512.654,4289.095,1021.726,1639.522
"050","7am",2244.795,2709.36,1159.893,726.769
"051","7am",1531.029,2969.551,1401.106,1294.474
"052","7am",1623.951,2773.066,1236.687,1072.939
"053","7am",487.725,3456.169,1601.494,652.849
"054","7am",486.584,1971.624,911.453,490.641
"055","7am",1160.727,5127.084,2691.123,1703.783
"056","7am",1212.606,2499.211,1616.041,4047.458
"057","7am",1304.538,2950.429,753.952,2256.179
"058","7am",541.089,2140.838,1703.581,2392.622
"059","7am",996.237,3327.472,896.547,935.446
"060","7am",2283.739,2826.28,1200.206,831.149
"061","7am",796.306,3251.752,1389.087,1971.63
"062","7am",259.206,1615.976,1346.797,1375.492
"063","7am",333.156,2906.968,1517.523,2219.958
"064","7am",193.043,608.212,451.09,826.31
"065","7am",1042.631,2187.305,2030.927,1546.144
"066","7am",757.474,2823.517,2010.13,3201.284
"067","7am",82.535,361.607,155.149,384.481
"068","7am",344.723,2990.652,879.545,1731.571
"069","7am",0,136.602,0,0
"070","7am",0,32.589,0,55.37
"071","7am",0,43.794,43.794,0
"072","7am",NA,NA,NA,NA
"073","7am",0,21.223,0,0
"074","7am",229.929,553.429,229.929,873.355
"075","7am",407.731,1895.142,3544.778,2888.82
"076","7am",222.085,1360.436,2223.166,4812.057
"077","7am",347.173,840.845,1056.266,2415.479
"078","7am",2193.621,4543.27,2527.611,1967.928
"079","7am",788.698,2111.277,1712.012,1071.246
"080","7am",0,21.621,21.621,196.35
"081","7am",39.542,40.92,0,0
"082","7am",351.251,887.068,407.602,93.028
"083","7am",407.552,4001.127,2233.135,2438.863
"084","7am",364.413,762.465,454.807,582.244
"085","7am",771.472,2377.278,1465.111,1899.157
"086","7am",177.767,949.773,739.07,461.639
