"district","hour","mode1","mode2","mode3"
"123","5am",0,0,0
"124","5am",0,0,0
"125","5am",0,0,0
"126","5am",0,0,0
"127","5am",0,1249.6,0
"128","5am",454.4,2385.6,0
"129","5am",0,2215.2,0
"130","5am",369.2,5168.8,0
"131","5am",0,2414,0
"132","5am",0,340.8,0
"133","5am",0,0,0
"134","5am",0,0,0
"135","5am",0,0,0
"136","5am",0,369.2,0
"137","5am",0,624.8,0
"138","5am",0,0,0
"139","5am",0,482.8,0
"140","5am",0,539.6,0
"141","5am",0,0,0
"301","5am",0,454.4,0
"302","5am",0,1391.6,0
"303","5am",0,0,0
"304","5am",0,0,0
"305","5am",0,0,0
"306","5am",0,426,0
"307","5am",0,1562,0
"308","5am",0,710,0
"309","5am",0,2698,0
"310","5am",0,511.2,0
"401","5am",0,0,0
"402","5am",0,1363.2,0
"403","5am",0,2158.4,0
"404","5am",0,681.6,0
"405","5am",0,454.4,0
"406","5am",0,3550,0
"407","5am",0,511.2,0
"408","5am",0,1022.4,0
"501","5am",0,0,0
"502","5am",0,0,0
"511","5am",0,0,0
"521","5am",0,681.6,0
"522","5am",0,0,0
"523","5am",0,482.8,0
"524","5am",0,0,0
"525","5am",0,0,0
"531","5am",0,340.8,0
"532","5am",0,454.4,0
"533","5am",0,0,0
"541","5am",0,0,0
"542","5am",0,340.8,0
"543","5am",0,426,0
"544","5am",0,482.8,0
"545","5am",0,0,0
"546","5am",0,653.2,0
"547","5am",0,0,0
"551","5am",0,0,0
"561","5am",0,0,0
"562","5am",0,738.4,0
"563","5am",0,0,0
"564","5am",0,0,0
"571","5am",0,0,0
"572","5am",0,0,0
"573","5am",0,1846,0
"574","5am",0,0,0
"575","5am",0,0,0
"576","5am",0,0,0
"601","5am",0,0,0
"602","5am",0,511.2,0
"611","5am",0,710,0
"612","5am",0,0,0
"621","5am",0,795.2,0
"622","5am",0,1789.2,0
"623","5am",0,568,0
"624","5am",0,0,0
"631","5am",0,965.6,0
"632","5am",0,0,0
"633","5am",0,0,0
"641","5am",0,1050.8,0
"642","5am",0,568,0
"643","5am",0,710,0
"644","5am",0,0,0
"645","5am",0,0,0
"651","5am",0,2584.4,0
"661","5am",0,937.2,0
"662","5am",0,0,0
"663","5am",0,0,0
"671","5am",0,340.8,0
"672","5am",0,0,0
"673","5am",0,0,0
"681","5am",0,0,0
"691","5am",0,0,0
"101","6am",14824.8,26071.2,1420
"102","6am",6304.8,14200,511.2
"103","6am",965.6,4572.4,0
"104","6am",710,3493.2,0
"105","6am",5935.6,10337.6,0
"106","6am",1533.6,4373.6,340.8
"107","6am",1988,5140.4,369.2
"108","6am",2556,10337.6,0
"109","6am",596.4,4260,0
"110","6am",1107.6,5367.6,0
"111","6am",1704,7213.6,0
"112","6am",738.4,6787.6,0
"113","6am",0,3976,0
"114","6am",0,3436.4,0
"115","6am",0,2669.6,0
"116","6am",1050.8,7270.4,0
"117","6am",710,4884.8,0
"118","6am",1136,4231.6,0
"119","6am",4203.2,29962,0
"120","6am",624.8,2556,0
"121","6am",397.6,795.2,0
"122","6am",624.8,1789.2,0
"123","6am",0,0,0
"124","6am",0,823.6,0
"125","6am",0,0,0
"126","6am",0,511.2,0
"127","6am",596.4,3635.2,0
"128","6am",1192.8,5424.4,0
"129","6am",823.6,5424.4,0
"130","6am",852,10848.8,0
"131","6am",681.6,6248,0
"132","6am",0,965.6,0
"133","6am",0,0,0
"134","6am",0,397.6,0
"135","6am",0,0,0
"136","6am",0,1164.4,0
"137","6am",0,1590.4,0
"138","6am",0,511.2,0
"139","6am",0,937.2,0
"140","6am",0,1476.8,0
"141","6am",0,0,0
"301","6am",0,1221.2,0
"302","6am",539.6,5055.2,0
"303","6am",0,568,0
"304","6am",369.2,908.8,0
"305","6am",0,0,0
"306","6am",0,1391.6,0
"307","6am",340.8,4004.4,0
"308","6am",0,3152.4,0
"309","6am",0,7100,0
"310","6am",0,2328.8,0
"401","6am",0,965.6,0
"402","6am",0,3464.8,0
"403","6am",426,6503.6,0
"404","6am",0,2527.6,0
"405","6am",0,994,0
"406","6am",1164.4,10025.2,0
"407","6am",454.4,1789.2,0
"408","6am",0,1988,0
"501","6am",0,369.2,0
"502","6am",0,482.8,0
"511","6am",0,1391.6,0
"521","6am",0,1221.2,0
"522","6am",0,397.6,0
"523","6am",0,1221.2,0
"524","6am",0,369.2,0
"525","6am",0,0,0
"531","6am",0,766.8,0
"532","6am",0,1278,0
"533","6am",0,426,0
"541","6am",0,0,0
"542","6am",0,1050.8,0
"543","6am",0,1448.4,0
"544","6am",0,1704,0
"545","6am",0,426,0
"546","6am",0,2158.4,0
"547","6am",0,0,0
"551","6am",0,482.8,0
"561","6am",0,568,0
"562","6am",0,2357.2,0
"563","6am",0,0,0
"564","6am",0,0,0
"571","6am",0,624.8,0
"572","6am",0,852,0
"573","6am",0,3124,0
"574","6am",0,511.2,0
"575","6am",0,0,0
"576","6am",0,0,0
"601","6am",0,426,0
"602","6am",0,1533.6,0
"611","6am",0,2073.2,0
"612","6am",0,1221.2,0
"621","6am",0,1931.2,0
"622","6am",426,4373.6,0
"623","6am",0,965.6,0
"624","6am",0,0,0
"631","6am",0,3010.4,0
"632","6am",0,426,0
"633","6am",0,568,0
"641","6am",0,2385.6,0
"642","6am",0,2243.6,0
"643","6am",0,2186.8,0
"644","6am",0,994,0
"645","6am",0,624.8,0
"651","6am",0,6503.6,0
"661","6am",0,3180.8,0
"662","6am",0,0,0
"663","6am",0,624.8,0
"671","6am",0,994,0
"672","6am",0,454.4,0
"673","6am",0,0,0
"681","6am",0,511.2,0
"691","6am",0,511.2,0
"101","7am",56146.8,59895.6,5452.8
"102","7am",25332.8,30047.2,1789.2
"103","7am",2300.4,7810,397.6
"104","7am",2186.8,6816,0
"105","7am",19567.6,25730.4,965.6
