"11am",3870.344,6483.336,8524.096,7922.906,4013.894,6687.484,3204.493,4153.412,4461.232,12701.237,4227.039,5643.997,5424.964,2348.236,12702.906,1958.256,4254.386,5145.333,11241.216,1448.152,4544.377,2478.622,1598.178,6570.294,2170.584,1756.494,14424.759,3349.932,2489.351,1933.828,3472.777,12439.231,10646.509,2326.437,5027.13,2077.321,0,4615.69,3585.407,1654.164,0,1444.021,3355.549,3412.16,1326.014,2233.738,799.336,1044.068,5005.399,2628.782,1716.107,2309.94,795.453,924.195,1382.151,2792.308,757.739,2019.439,3055.69,2165.071,1374.993,4419.599,4376.181,2737.596,981.541,2805.456,2733.592,1103.013,8652.958,1750.419,0,0,0,1435.02
"12am",3743.96,6191.505,8500.17,7436.405,4695.207,5756.85,2729.054,3588.224,3664.202,11594.464,3683.73,3920.416,4528.491,2320.019,11804.468,1620.071,2850.91,4565.26,10473.456,1803.405,3429.383,1578.295,1433.787,4892.971,1855.327,1765.124,11989.685,2492.884,1892.54,1782.092,2571.773,10356.212,9903.108,2003.424,4702.095,1227.871,891.762,4042.855,2838.509,1732.162,0,1273.231,3376.248,2807.1,1276.699,1511.408,900.763,0,4051.327,2459.58,955.064,2158.249,0,685.218,1003.439,1941.188,0,2047.989,2368.253,2239.876,1411.999,4249.885,3808.275,2236.81,788.52,1567.645,2486.162,1170.236,7443.571,1578.515,0,0,0,1087.131
"1pm",4177.985,6853.089,9345.98,8829.133,3941.325,7127.113,3480.106,3902.582,3965.687,12576.935,3782.47,4157.775,5040.428,2627.557,12664.849,1854.326,3952.016,4470.507,10736.134,2127.318,3642.9,2560.717,1471.08,4706.1,2475.504,1798.291,13804.012,3023.669,2783.159,1664.632,2924.518,11908.79,10073.181,1951.332,5561.974,1810.81,781.906,4697.625,3629.821,1816.087,0,1742.005,3076.767,3056.569,1108.787,1882,940.104,1415.208,4421.204,2689.335,1794.165,2306.743,877.45,752.392,1373.5,2665.926,0,1680.17,3014.728,2151.274,1131.001,4252.213,4082.736,2318.587,798.544,2794.571,2799.431,1110.092,9053.917,1528.089,925.296,803.499,0,1620.046
"2pm",4050.861,7338.516,11266.87,9176.329,3899.309,7874.536,4168.03,4479.271,4262.219,13701.678,4580.336,4983.921,5361.184,2597.312,13637.047,1792.568,4581.523,4003.567,9840.472,2088.889,4246.404,2492.049,2473.931,5768.711,2944.186,1941.88,13116.655,4109.781,3297.49,1727.558,2945.936,12663.684,10281.053,2478.466,5633.487,2099.895,743.027,4776.825,3524.648,1768.532,0,1987.695,3813.504,3221.603,1437.788,1949.403,1214.785,1654.828,5067.44,2946.098,1952.427,2174.097,1212.861,1146.752,1357.61,3358.672,895.46,1721.791,2890.953,2284.99,1823.611,4758.355,4069.339,3511.834,1129.226,3178.725,2829.624,1336.746,10142.303,1456.921,833.108,1055.469,0,1879.218
"3pm",4994.11,7130.104,11068.634,8046.726,3386.751,7793.812,3239.121,4873.127,4326.27,14063.084,4761.907,4276.327,4740.049,2238.644,12762.235,1798.788,3926.999,3637.771,10163.975,2650.87,4343.484,2341.641,2175.892,6330.19,2915.871,2089.098,12561.164,3808.15,3224.029,1151.968,3321.983,11792.524,10145.939,2479.327,5947.255,2224.32,834.953,4698.164,3626.542,1673.925,723.579,1620.655,3990.946,3311.277,1286.474,1855.756,1069.088,1513.854,5657.511,3304.91,2066.122,1913.077,1463.377,1180.079,1730.18,3483.309,848.732,1776.84,3093.053,2189.207,2136.079,4612.385,3963.11,3149.06,1409.274,3046.27,2719.863,1477.994,10778.45,1161.972,844.932,1126.37,1449.763,1838.336
"4pm",4140.111,6126.152,9679.155,6795.628,2776.37,6846.75,2838.707,4014.348,3132.118,11335.529,4080.417,3622.302,3735.357,2159.187,9035.74,1324.644,3683.622,3740.195,8139.09,1676.137,4225.367,1489.717,1273.845,5398.215,2740.863,1966.765,11066.764,3745.694,2482.902,1286.028,2820.635,9854.192,8439.333,2788.348,4533.634,1579.357,1054.199,3438.35,2857.305,1259.319,0,2023.845,3774.614,3064.834,1380.66,1387.281,860.334,1422.806,4842.991,2618.364,1974.448,1653.287,1495.705,1285.972,979.53,3020.454,0,1450.211,2597.158,2009.976,1560.204,4138.212,2931.272,3535.817,1290.696,2582.305,2328.746,904.761,9646.759,1100.783,0,0,0,1706.634
"5pm",2613.504,4186.208,6587.02,4554.818,2321.295,4325.168,1362.778,2056.753,1896.239,7029.271,1689.794,1681.926,2198.159,1261.936,4854.876,853.302,2717.064,2397.411,4842.913,1102.781,3196.984,1141.754,1130.628,4793.674,2340.233,1189.21,6235.793,3032.016,1545.433,853.53,3205.583,5956.443,5719.64,1263.842,3111.262,1864.902,0,2483.847,2095.647,817.473,0,0,2874.262,1981.452,723.233,825.67,0,1082.727,3912.822,2009.789,1171.96,1304.216,1056.519,826.703,0,1608.13,0,1126.744,1584.838,1202.11,1464.447,2230.332,1704.455,2101.77,1133.321,1596.637,1473.88,0,6606.189,0,0,0,0,0
"6pm",1674.403,1943.35,4925.227,2515.416,2181.767,1709.167,1229.931,1059.321,1110.381,4156.126,1749.217,1169.29,1514.849,933.227,3718.151,0,1419.348,1354.442,3389.016,1127.732,2668.007,629.225,1050.853,3155.016,1964.751,769.327,2720.948,1744.978,1586.512,0,2038.073,2673.186,2622.928,978.954,1031.72,1556.718,730.538,2062.528,1567.373,0,0,0,1305.926,1388.439,603.521,0,0,0,2464.768,1980.311,0,654.486,0,0,0,1187.568,0,0,0,764.481,0,1258.947,0,1516.509,0,0,1720.832,0,3452.104,0,0,0,0,0
"7pm",1531.605,1240.764,2362.282,1816.958,1684.273,1242.141,0,0,525.666,2059.824,1707.971,0,1285.314,752.593,2074.43,0,660.537,991.484,3093.005,862.011,1626.156,0,836.142,1533.426,963.293,740.209,1740.224,1923.624,1067.397,0,1129.82,1832.073,1947.183,0,806.44,0,757.749,1730.862,0,0,0,0,913.988,679.565,724.379,0,0,0,1480.86,1412.233,0,0,0,0,0,792.773,0,0,0,0,0,1015.932,0,994.643,0,0,0,0,1686.878,0,0,0,0,0
"8pm",2248.521,1015.151,2122.212,2623.732,1260.075,1028.896,0,0,1159.57,1743.338,1583.528,639.908,941.075,0,1283.678,0,594.714,0,1840.981,801.667,1893.207,0,0,887.592,722.971,0,1089.381,2290.55,781.975,0,0,1557.707,1601.724,743.859,0,0,0,1406.577,0,0,0,0,812.179,0,780.302,0,0,0,0,992.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779.11,0,0,0,0,0
"9pm",2076.047,882.274,2438.159,2432.082,1045.072,1040.28,0,0,961.429,1131.95,1154.739,1004.849,838.735,0,874.762,0,0,0,1163.777,1046.388,1167.462,0,0,0,0,0,0,1329.433,0,0,0,1011.546,1171.654,0,0,0,0,1044.416,0,687.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10pm",1842.623,0,2212.4,2257.996,1120.665,810.313,0,0,0,0,1241.431,1036.275,823.939,0,0,0,0,0,0,1148.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11pm",1160.505,0,781.381,1640.697,0,0,0,0,0,0,0,834.079,776.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",786.669,0,0,1247.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",0,0,0,955.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
