"district","hour","mode1","mode2","mode3"
"166","6am",0,64.01658,35.983418
"167","6am",1.813872,65.16099,33.025137
"168","6am",2.034004,70.04877,27.917225
"101","7am",30.6218114,33.83104,35.547145
"102","7am",13.5852351,48.81354,37.601224
"103","7am",24.838432,44.10993,31.051635
"104","7am",18.3272226,50.47933,31.193444
"105","7am",29.4756998,37.67464,32.849664
"106","7am",16.0729562,37.14811,46.778931
"107","7am",12.3303373,37.99656,49.673098
"108","7am",12.7395815,69.64592,17.614495
"109","7am",18.9572951,50.30522,30.737489
"110","7am",12.107778,41.36894,46.52328
"111","7am",16.4699957,35.85758,47.672422
"112","7am",8.924143,43.53273,47.543124
"113","7am",19.4661423,49.59652,30.937338
"114","7am",16.8976551,61.36706,21.735289
"115","7am",18.5464689,58.28002,23.173509
"116","7am",9.1054282,63.80376,27.090808
"117","7am",9.544259,49.36192,41.093821
"118","7am",20.735356,63.93495,15.329698
"119","7am",11.6370609,66.16815,22.194787
"120","7am",10.1582264,69.63439,20.207383
"121","7am",13.7426462,54.62394,31.633417
"122","7am",11.5618336,68.96601,19.47216
"123","7am",14.757359,56.33951,28.90313
"124","7am",10.4571412,81.30879,8.234071
"125","7am",11.4441481,57.78703,30.768825
"126","7am",15.1720229,74.79461,10.033367
"127","7am",4.6381637,78.21124,17.150594
"128","7am",7.6958574,75.76146,16.542679
"129","7am",7.2827135,77.11382,15.603462
"130","7am",9.0548893,78.72461,12.220499
"131","7am",2.6471654,87.65241,9.700428
"132","7am",5.1288078,89.85279,5.018403
"133","7am",2.9003915,84.82189,12.27772
"134","7am",5.8722168,79.60432,14.523468
"135","7am",7.8361184,69.83722,22.326664
"136","7am",7.8377557,80.72899,11.433254
"137","7am",1.0189158,82.94804,16.033044
"138","7am",5.1274893,66.99254,27.879974
"139","7am",1.5533668,90.43182,8.014812
"140","7am",4.5158369,87.02298,8.461179
"141","7am",4.3772915,75.19238,20.430324
"142","7am",5.121246,71.84067,23.038079
"143","7am",5.6915997,65.76941,28.538989
"144","7am",6.59158,65.85115,27.557273
