"district","hour","resarea1","resarea2","resarea3"
"105","9am",32.028886,16.393211,51.5779027
"106","9am",19.197495,15.070505,65.7320001
"107","9am",10.380119,10.090858,79.5290232
"108","9am",14.289926,5.535788,80.1742861
"109","9am",11.982844,77.731578,10.2855783
"110","9am",8.517678,81.287116,10.1952059
"111","9am",8.509251,86.757777,4.7329716
"112","9am",18.038438,50.590798,31.3707633
"113","9am",19.612347,75.092535,5.2951185
"114","9am",21.757508,66.530824,11.7116678
"115","9am",90.528694,4.948305,4.5230011
"116","9am",18.217067,75.060637,6.7222964
"117","9am",24.94092,66.717788,8.3412926
"118","9am",4.027029,94.444111,1.5288606
"119","9am",84.952491,15.047509,0
"120","9am",97.016251,2.983749,0
"121","9am",83.73455,10.696116,5.5693334
"122","9am",90.457962,6.845072,2.6969667
"123","9am",98.800512,1.199488,0
"124","9am",94.324316,5.675684,0
"125","9am",89.855245,9.223682,0.9210737
"126","9am",100,0,0
"127","9am",87.187732,8.814943,3.9973245
"128","9am",84.319816,6.412529,9.2676553
"129","9am",83.139807,6.552114,10.308079
"130","9am",100,0,0
"131","9am",94.988269,5.011731,0
"132","9am",91.779314,6.627777,1.5929081
"201","9am",94.383865,0,5.6161346
"202","9am",95.745659,2.350921,1.9034199
"203","9am",91.532999,5.571457,2.8955437
"204","9am",98.877568,1.122432,0
"205","9am",94.200008,5.799992,0
"206","9am",100,0,0
"207","9am",99.061748,0,0.9382522
"208","9am",100,0,0
"209","9am",98.015319,1.984681,0
"210","9am",16.919411,78.621367,4.4592221
"211","9am",96.140759,3.859241,0
"212","9am",86.455821,13.544179,0
"213","9am",94.647437,5.352563,0
"214","9am",98.172879,1.827121,0
"215","9am",95.029207,1.837918,3.1328749
"216","9am",89.653466,6.737451,3.6090822
"217","9am",10.082692,89.917308,0
"218","9am",11.771608,88.228392,0
"219","9am",5.278141,94.721859,0
"220","9am",11.104277,85.445548,3.4501747
"221","9am",14.152157,85.847843,0
"222","9am",82.431773,17.568227,0
"223","9am",11.186673,88.228184,0.5851435
"224","9am",98.411209,1.588791,0
"101","10am",15.043314,22.1675206,62.789165
"102","10am",16.414597,25.9649783,57.6204242
"103","10am",13.859447,12.2631124,73.8774402
"104","10am",18.718386,21.6290907,59.6525236
"105","10am",33.476807,17.8074769,48.7157162
"106","10am",20.425959,15.0076068,64.566434
"107","10am",10.337412,10.6991016,78.9634861
"108","10am",14.150489,6.1516395,79.6978713
"109","10am",13.33414,75.3159472,11.3499129
