"district","hour","sex1","sex2"
"072","8am",1236.573,1334.442
"073","8am",0,0
"074","8am",1338.693,1269.817
"075","8am",1420.173,1183.359
"076","8am",0,0
"077","8am",2706.367,3381.901
"078","8am",931.469,835.618
"079","8am",0,0
"080","8am",0,0
"081","8am",0,0
"082","8am",0,0
"083","8am",0,0
"001","9am",1454.022,1470.429
"002","9am",2417.513,3930.31
"003","9am",2273.219,4761.149
"004","9am",2553.696,4558.24
"005","9am",2017.86,1594.284
"006","9am",4539.982,2155.554
"007","9am",1823.828,1519.313
"008","9am",2466.093,2002.361
"009","9am",1319.299,2579.647
"010","9am",5551.807,6926.528
"011","9am",1969.158,2618.098
"012","9am",2398.566,2971.716
"013","9am",3685.005,2152.767
"014","9am",1448.729,972.284
"015","9am",5788.547,6813.905
"016","9am",1279.623,903.123
"019","9am",1582.718,2762.287
"020","9am",1600.429,2688.268
"021","9am",4322.173,7693.522
"022","9am",0,1432.928
"023","9am",1576.406,2636.947
"024","9am",1025.602,1250.375
"025","9am",772.402,0
"026","9am",2832.256,2323.097
"027","9am",1217.979,1575.201
"028","9am",728.746,756.328
"029","9am",8145.93,5700.57
"030","9am",0,0
"031","9am",1329.804,1755.878
"033","9am",1408.299,1854.436
"034","9am",0,1197.65
"035","9am",1995.842,1588.112
"036","9am",8439.393,4404.125
"037","9am",6187.634,5188.873
"038","9am",1375.612,886.539
"039","9am",2622.828,2706.532
"040","9am",1146.832,952.246
"041","9am",0,0
"042","9am",2951.815,2008.994
"043","9am",2576.536,1044.775
"044","9am",0,0
"046","9am",0,0
"047","9am",970.387,0
"049","9am",1342.918,2025.75
"050","9am",2216.862,1405.506
"052","9am",1199.315,0
"054","9am",1762.367,0
"055","9am",0,0
"056","9am",0,0
"057","9am",2536.428,2479.578
"058","9am",1128.161,1754.816
"059","9am",997.907,0
"060","9am",1032.679,984.984
"061","9am",0,820.508
"062","9am",0,479.16
"063","9am",1018.135,0
"064","9am",820.113,1432.661
"065","9am",0,0
"066","9am",1233.22,0
"067","9am",1761.741,1066.249
"068","9am",1409.178,734.854
"069","9am",1346.728,1380.306
"070","9am",2368.495,2573.524
"071","9am",2200.376,1926.748
"072","9am",1315.42,1833.144
"073","9am",0,662.271
"074","9am",1562.341,1535.362
"075","9am",1683.155,1381.455
"076","9am",0,0
"077","9am",3064.295,5425.071
"078","9am",1108.619,809.509
"079","9am",0,0
"080","9am",0,0
"081","9am",0,0
"082","9am",0,0
"083","9am",0,0
"001","10am",1582.46,1760.425
"002","10am",2409.387,4340.994
"003","10am",2489.491,5331.344
"004","10am",2971.8,5816.986
"005","10am",2331.452,1665.465
"006","10am",4853.706,2295.849
"007","10am",1758.62,1852.965
"008","10am",2223.522,2334.68
"009","10am",1788.416,2383.747
"010","10am",5657.152,7521.317
"011","10am",2100.393,2456.619
"012","10am",2317.655,3253.719
"013","10am",3892.041,2092.579
"014","10am",1545.408,901.07
"015","10am",6121.621,7216.06
"016","10am",1196.074,903.123
"019","10am",1834.452,2744.573
"020","10am",1768.031,2855.525
"021","10am",3812.916,7971.266
"022","10am",0,1430.562
"023","10am",1509.004,2750.006
"024","10am",1089.738,1444.627
"025","10am",805.866,1097.488
"026","10am",4009.717,3247.312
"027","10am",1178.276,1682.05
"028","10am",968.199,977.513
"029","10am",8831.81,6463.646
"030","10am",0,0
"031","10am",1884.758,1852.89
"033","10am",1350.183,1452.554
"034","10am",0,1340
"035","10am",1852.03,1719.53
"036","10am",8639.984,4524.246
"037","10am",6539.55,5065.157
"038","10am",1729.581,1093.447
"039","10am",3078.985,2681.105
"040","10am",1057.647,884.772
"041","10am",0,0
"042","10am",2988.551,2003.04
"043","10am",2484.57,847.128
"044","10am",1019.228,856.823
"046","10am",0,0
"047","10am",1222.137,0
"049","10am",1537.174,2148.088
"050","10am",2323.254,1279.642
"052","10am",1035.866,0
"054","10am",1643.675,0
"055","10am",0,0
"056","10am",0,0
"057","10am",2801.038,3119.759
"058","10am",728.577,1911.343
"059","10am",1046.274,0
"060","10am",1111.5,1155.478
"061","10am",0,0
"062","10am",0,0
"063","10am",807.938,0
"064","10am",1004.883,1606.215
"065","10am",0,0
"066","10am",1347.946,0
"067","10am",1993.022,1348.888
"068","10am",1568.812,1174.1
"069","10am",969.846,858.631
"070","10am",2312.563,2469.72
"071","10am",2308.745,2034.681
"072","10am",1493.925,1878.572
"073","10am",0,813.428
"074","10am",1506.224,1444.71
"075","10am",1536.022,1340.332
"076","10am",0,0
"077","10am",3319.916,4985.142
"078","10am",1054.873,922.457
"079","10am",0,0
"080","10am",0,0
"081","10am",0,0
"082","10am",0,0
"083","10am",0,0
"001","11am",1720.236,2150.108
"002","11am",2574.684,3908.652
"003","11am",3206.941,5317.155
"004","11am",2465.653,5457.253
"005","11am",2552.994,1460.9
"006","11am",4458.632,2228.852
"007","11am",1689.15,1515.343
"008","11am",1942.933,2210.479
"009","11am",1963.377,2497.855
"010","11am",5837.387,6863.85
"011","11am",1765.296,2461.743
"012","11am",2409.026,3234.971
"013","11am",3350.568,2074.396
"014","11am",1355.116,993.12
"015","11am",5714.291,6988.615
"016","11am",1101.102,857.154
"019","11am",1579.078,2675.308
"020","11am",2232.396,2912.937
"021","11am",3619.453,7621.763
"022","11am",0,994.732
"023","11am",1754.438,2789.939
"024","11am",1089.935,1388.687
"025","11am",0,957.212
"026","11am",3797.25,2773.044
"027","11am",749.354,1421.23
"028","11am",958.825,797.669
"029","11am",8023.115,6401.644
"030","11am",0,0
"031","11am",997.657,2352.275
"033","11am",1174.992,1314.359
"034","11am",0,1339.07
"035","11am",1869.012,1603.765
"036","11am",8069.893,4369.338
"037","11am",5992.894,4653.615
"038","11am",1450.08,876.357
"039","11am",2458.602,2568.528
"040","11am",1023.931,1053.39
"041","11am",0,0
"042","11am",2944.26,1671.43
"043","11am",2715.884,869.523
"044","11am",834.034,820.13
"046","11am",0,0
"047","11am",1066.537,0
"049","11am",1154.506,2201.043
"050","11am",2206.357,1205.803
"052","11am",970.423,0
"054","11am",1568.58,665.158
"055","11am",0,0
"056","11am",0,0
"057","11am",2251.114,2754.285
"058","11am",854.302,1774.48
"059","11am",985.964,730.143
"060","11am",1251.05,1058.89
"061","11am",0,0
"062","11am",0,0
"063","11am",725.941,0
"064","11am",1106.355,1685.953
"065","11am",0,0
"066","11am",1320.48,0
"067","11am",1839.044,1216.646
"068","11am",1365.987,799.084
"069","11am",892.419,0
"070","11am",2078.909,2340.69
"071","11am",2418.262,1957.919
"072","11am",1209.917,1527.679
"073","11am",0,738.481
"074","11am",1432.672,1372.784
"075","11am",1395.543,1338.049
"076","11am",0,0
"077","11am",3175.953,5477.005
"078","11am",962.49,787.929
"079","11am",0,0
"080","11am",0,0
"081","11am",0,0
"082","11am",0,0
"083","11am",0,0
"001","12am",1863.478,1880.482
"002","12am",2513.037,3678.468
"003","12am",3099.716,5400.454
"004","12am",2713.682,4722.723
"005","12am",2762.047,1933.16
"006","12am",3500.846,2256.004
"007","12am",1428.183,1300.871
"008","12am",1697.153,1891.071
"009","12am",1513.88,2150.322
"010","12am",5305.606,6288.858
"011","12am",1483.566,2200.164
"012","12am",1715.959,2204.457
"013","12am",2827.156,1701.335
"014","12am",1524.323,795.696
"015","12am",5360.269,6444.199
"016","12am",970.186,649.885
"019","12am",1276.332,1574.578
"020","12am",2203.233,2362.027
"021","12am",3350.756,7122.7
"022","12am",744.845,1058.56
"023","12am",1565.798,1863.585
"024","12am",859.761,718.534
"025","12am",892.689,0
"026","12am",2369.55,2523.421
"027","12am",0,1179.481
"028","12am",1008.466,756.658
"029","12am",6630.596,5359.089
"030","12am",0,0
"031","12am",820.516,1672.368
"033","12am",869.962,1022.578
"034","12am",0,1034.828
"035","12am",1243.359,1328.414
"036","12am",6744.456,3611.756
"037","12am",5713.314,4189.794
"038","12am",1327.715,0
"039","12am",2118.328,2583.767
"040","12am",0,860.97
"041","12am",0,0
"042","12am",2794.132,1248.723
"043","12am",1883.032,955.477
"044","12am",1021.064,711.098
"046","12am",0,0
"047","12am",915.467,0
"049","12am",1489.907,1886.341
"050","12am",1875.659,931.441
"052","12am",832.775,0
"054","12am",1318.661,0
"055","12am",0,0
"056","12am",0,0
"057","12am",1638.499,2412.828
"058","12am",879.588,1579.992
"059","12am",0,0
"060","12am",1177.479,980.77
"061","12am",0,0
"062","12am",0,0
"063","12am",0,0
"064","12am",818.173,1123.015
"065","12am",0,0
"066","12am",1408.677,0
"067","12am",1545.275,0
"068","12am",1381.538,858.338
"069","12am",0,0
"070","12am",2125.976,2123.909
"071","12am",2269.645,1538.63
"072","12am",1027.517,1209.293
"073","12am",0,0
"074","12am",839.166,728.479
"075","12am",1346.366,1139.796
"076","12am",0,0
"077","12am",2911.95,4531.621
"078","12am",845.123,733.392
"079","12am",0,0
"080","12am",0,0
"081","12am",0,0
"082","12am",0,0
"083","12am",0,0
"001","1pm",1796.99,2380.995
"002","1pm",2725.856,4127.233
"003","1pm",3531.329,5814.651
"004","1pm",3580.492,5248.641
"005","1pm",2142.101,1799.224
"006","1pm",4314.147,2812.966
"007","1pm",1514.132,1965.974
"008","1pm",1881.706,2020.876
"009","1pm",1606.012,2359.675
"010","1pm",5581.555,6995.38
"011","1pm",1583.846,2198.624
"012","1pm",1719.853,2437.922
"013","1pm",3066.736,1973.692
"014","1pm",1649.418,978.139
"015","1pm",5865.004,6799.845
"016","1pm",1162.975,691.351
"019","1pm",1152.465,2799.551
"020","1pm",1837.324,2633.183
"021","1pm",3072.039,7664.095
"022","1pm",0,1513.586
"023","1pm",1414.603,2228.297
"024","1pm",1334.114,1226.603
"025","1pm",745.687,0
"026","1pm",2570.722,2135.378
"027","1pm",0,1750.59
"028","1pm",748.88,1049.411
"029","1pm",7438.762,6365.25
"030","1pm",0,0
"031","1pm",1203.901,1819.768
"033","1pm",1423.712,1359.447
"034","1pm",0,1207.956
"035","1pm",1487.257,1437.261
"036","1pm",7971.969,3936.821
"037","1pm",5868.768,4204.413
"038","1pm",1447.382,0
"039","1pm",2577.925,2984.049
"040","1pm",1032.834,777.976
"041","1pm",0,0
"042","1pm",3171.305,1526.32
"043","1pm",2650.574,979.247
"044","1pm",923.314,892.773
"046","1pm",0,0
"047","1pm",1068.757,0
"049","1pm",1194.819,1881.948
"050","1pm",1815.209,1241.36
"052","1pm",713.649,0
"054","1pm",1419.96,0
"055","1pm",590.991,0
"056","1pm",0,0
"057","1pm",2226.542,2194.662
"058","1pm",0,2089.527
"059","1pm",964.204,829.961
"060","1pm",1077.147,1229.596
"061","1pm",0,0
"062","1pm",0,0
"063","1pm",641.01,0
"064","1pm",1166.494,1499.432
"065","1pm",0,0
"066","1pm",1162.835,0
"067","1pm",1823.706,1191.022
"068","1pm",1373.83,777.444
"069","1pm",0,0
"070","1pm",2216.012,2036.201
"071","1pm",2390.493,1692.243
"072","1pm",999.627,1318.96
"073","1pm",0,0
"074","1pm",1319.458,1475.113
"075","1pm",1310.106,1489.325
"076","1pm",0,0
"077","1pm",3650.39,5403.527
"078","1pm",806.944,721.145
"079","1pm",0,0
"080","1pm",0,0
"081","1pm",0,0
"082","1pm",0,0
"083","1pm",0,0
"001","2pm",1839.073,2211.788
"002","2pm",3415.94,3922.576
"003","2pm",4432.592,6834.278
"004","2pm",3821.558,5354.771
"005","2pm",2263.436,1635.873
"006","2pm",4793.02,3081.516
"007","2pm",1978.219,2189.811
"008","2pm",2004.784,2474.487
"009","2pm",1682.413,2579.806
"010","2pm",5162.85,8538.828
"011","2pm",2187.028,2393.308
"012","2pm",2127.519,2856.402
"013","2pm",3255.852,2105.332
"014","2pm",1575.872,1021.44
"015","2pm",6251.232,7385.815
"016","2pm",1240.176,0
"019","2pm",1476.886,3104.637
"020","2pm",1720.461,2283.106
"021","2pm",2843.948,6996.524
"022","2pm",683.634,1405.255
"023","2pm",1641.86,2604.544
"024","2pm",894.243,1597.806
"025","2pm",1322.965,1150.966
"026","2pm",2954.189,2814.522
"027","2pm",970.592,1973.594
"028","2pm",803.339,1138.541
"029","2pm",7413.775,5702.88
"030","2pm",0,0
"031","2pm",1727.227,2382.554
"033","2pm",1655.259,1642.231
"034","2pm",0,1257.058
"035","2pm",1439.602,1506.334
"036","2pm",8174.386,4489.298
"037","2pm",5730.056,4550.997
"038","2pm",1527.639,950.827
"039","2pm",2397.799,3235.688
"040","2pm",1149.817,950.078
"041","2pm",0,0
"042","2pm",3069.863,1706.962
"043","2pm",2677.381,847.267
"044","2pm",923.314,845.218
"046","2pm",0,0
"047","2pm",1304.618,0
"049","2pm",1455.442,2358.062
"050","2pm",1803.254,1418.349
"052","2pm",1042.65,0
"054","2pm",1412.268,0
"055","2pm",684.721,0
"056","2pm",926.278,0
"057","2pm",2246.14,2821.3
"058","2pm",714.818,2231.28
"059","2pm",997.694,954.733
"060","2pm",1101.137,1072.96
"061","2pm",636.388,0
"062","2pm",553.501,0
"063","2pm",736.409,0
"064","2pm",1310.967,2047.705
"065","2pm",0,0
"066","2pm",1063.772,0
"067","2pm",1607.554,1283.399
"068","2pm",1353.426,931.564
"069","2pm",1259.3,0
"070","2pm",2396.936,2361.419
"071","2pm",2092.601,1976.738
"072","2pm",1511.03,2000.804
"073","2pm",0,732.459
"074","2pm",1533.433,1645.292
"075","2pm",1417.258,1412.366
"076","2pm",0,0
"077","2pm",3945.298,6197.005
"078","2pm",813.622,643.299
"079","2pm",0,0
"080","2pm",0,0
"081","2pm",0,0
"082","2pm",0,0
"083","2pm",0,903.088
"001","3pm",1971.078,3023.032
"002","3pm",3185.291,3944.813
"003","3pm",4596.012,6472.622
"004","3pm",3518.81,4527.916
"005","3pm",1821.203,1565.548
"006","3pm",4496.299,3297.513
"007","3pm",1755.097,1484.024
"008","3pm",1906.842,2966.285
"009","3pm",1699.214,2627.056
"010","3pm",5499.312,8563.772
"011","3pm",2175.992,2585.915
"012","3pm",1925.761,2350.566
"013","3pm",2951.87,1788.179
"014","3pm",1235.835,1002.809
"015","3pm",6063.019,6699.216
"016","3pm",1215.609,0
"019","3pm",1536.858,2390.141
