"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"025","10am",340.3067,2005.0919,2412.458,1048.639,327.85956
"026","10am",435.6714,1223.0278,1594.1017,1004.0568,249.50938
"027","10am",1371.1322,1430.0528,1079.8133,1061.3515,138.47592
"028","10am",1143.7799,1282.9627,2576.7517,1141.6394,114.93096
"029","10am",331.5835,1980.6819,2615.4712,1238.9209,71.36904
"030","10am",1752.7331,2682.8676,2472.1974,1259.9471,286.00067
"031","10am",1624.5333,2904.4688,1118.5116,2016.7527,267.09322
"001","11am",605.1935,1281.8312,2029.8045,1187.1548,639.61512
"002","11am",1046.2159,2563.5236,2770.577,1957.4418,236.12937
"003","11am",2507.7848,2319.0489,3599.1119,2939.0516,992.6891
"004","11am",901.0352,904.1925,1750.4904,1190.9946,450.22464
"005","11am",1884.4636,845.1118,1761.9176,1692.3489,591.19293
"006","11am",582.9036,362.4468,1576.4756,1283.4934,776.98013
"007","11am",283.8569,1198.752,1800.2121,860.7415,122.40505
"008","11am",1502.1293,1405.6645,782.666,739.9749,0
"009","11am",1304.4353,1467.0227,2139.4623,1381.8591,596.97493
"010","11am",1659.1952,1380.4973,1093.8259,647.0708,83.14339
"011","11am",662.3954,1604.3083,1558.0794,1003.1665,426.05855
"012","11am",2803.5495,1690.8279,763.3326,580.6563,0
"013","11am",1076.0717,441.7781,597.5537,129.3343,277.34401
"014","11am",1014.6328,2378.0382,3178.1392,1924.3923,1010.78653
"015","11am",110.2916,615.9893,745.7335,525.9142,311.46187
"016","11am",212.8091,344.139,1126.3164,578.2023,375.88145
"017","11am",237.8173,977.566,778.7633,622.2612,286.90843
"018","11am",793.9642,1100.9018,745.5575,659.4307,94.3371
"019","11am",471.6569,1467.7788,1793.6913,546.4275,388.54471
"020","11am",1343.4243,3077.3163,5793.1947,2289.352,353.05181
"021","11am",1067.3027,1439.5135,1446.2114,856.0875,134.19453
"022","11am",952.1309,2849.0292,3105.8245,1006.7291,326.52337
"023","11am",277.9386,1202.0256,1259.8069,1297.2608,76.43864
"024","11am",1351.3667,1484.3807,2826.362,1157.672,78.2529
"025","11am",539.6411,2124.5764,2575.1085,970.7832,327.85956
"026","11am",236.337,1223.0278,1629.0678,945.1904,309.25164
"027","11am",1374.9581,1737.1299,1051.7142,1046.7156,138.47592
"028","11am",1238.7113,1384.2247,2383.9232,1317.1732,82.58005
"029","11am",331.5835,1898.6723,2738.358,1287.1906,150.08406
"030","11am",1599.3981,2947.2053,2558.7178,1282.655,271.95333
"031","11am",1579.164,3122.6368,1118.5116,1902.3714,267.09322
"001","12am",674.364,1013.7147,1918.5524,1591.64379,730.63802
