"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"023","5am",3.901771,27.49227,23.21455,37.369469,8.0219367
"024","5am",14.285003,15.32151,42.91451,23.723723,3.7552518
"025","5am",6.747855,25.34666,41.28284,22.130148,4.4924981
"026","5am",4.077766,28.89585,38.71996,24.116831,4.1895928
"027","5am",17.677749,27.70179,26.12451,23.958479,4.5374764
"028","5am",20.544501,15.29569,37.67028,24.676901,1.8126231
"029","5am",4.460536,24.8283,44.19081,24.344238,2.1761091
"030","5am",17.934991,33.28281,32.47719,13.175583,3.1294217
"031","5am",18.999787,38.88637,11.8277,27.628567,2.6575836
"001","6am",8.943797,17.8506,29.03781,23.87829,20.2895001
"002","6am",8.785995,28.45436,37.05445,21.805671,3.8995235
"003","6am",20.344222,16.90336,33.5107,23.217503,6.0242176
"004","6am",15.872569,21.04157,28.13911,19.660037,15.2867185
"005","6am",24.197002,12.28479,20.27614,30.375969,12.8661062
"006","6am",7.745101,14.21594,27.15073,34.389243,16.4989862
"007","6am",6.984523,24.33568,31.99306,28.953097,7.733636
"008","6am",45.236866,34.59616,15.42178,4.745193,0
"009","6am",19.024151,23.86728,31.15298,15.396543,10.5590414
"010","6am",31.508218,25.23633,29.42106,12.239589,1.5947958
"011","6am",10.207823,32.35831,29.811,22.221928,5.4009341
"012","6am",55.127052,30.24202,12.03273,2.598198,0
"013","6am",55.342115,18.52175,18.01689,4.451823,3.6674192
"014","6am",17.860552,31.53361,38.93692,8.549648,3.1192712
"015","6am",8.819983,25.05426,37.84219,19.777887,8.5056794
"016","6am",5.6767,11.65265,39.28775,26.997439,16.3854626
"017","6am",5.948099,25.95503,24.07049,27.34484,16.6815458
"018","6am",29.99543,24.74705,29.42891,14.853597,0.9750131
"019","6am",13.319895,38.69373,38.33758,6.713126,2.9356688
"020","6am",7.960462,35.89127,36.96961,14.373511,4.8051444
"021","6am",18.070306,31.73834,30.02876,17.041275,3.1213103
"022","6am",8.647306,28.09043,43.86973,16.164225,3.2283082
"023","6am",4.024207,28.35497,23.94302,38.542114,5.1356887
"024","6am",14.827514,16.09031,43.07243,22.200083,3.8096616
"025","6am",7.088852,25.39796,40.34625,22.447422,4.7195223
"026","6am",4.277212,29.80232,38.13957,24.098519,3.6823758
"027","6am",17.87942,27.72407,26.93134,22.787561,4.6776125
"028","6am",20.532773,15.28696,39.94176,22.970285,1.2682215
"029","6am",4.542565,25.58984,43.63259,24.018876,2.2161281
"030","6am",18.831055,33.66472,30.86174,13.433628,3.2088606
"031","6am",19.402694,38.81954,12.07851,26.985313,2.7139399
"001","7am",8.913196,18.92876,30.49214,24.487223,17.178679
"002","7am",9.954526,30.69112,34.79605,20.865482,3.692822
"003","7am",20.09666,20.13244,30.02062,21.702058,8.048222
"004","7am",14.156501,19.23485,33.12322,20.640793,12.844631
"005","7am",23.296897,13.12916,23.32202,29.320571,10.93135
"006","7am",11.146264,10.45616,30.85913,30.797008,16.741441
"007","7am",7.977662,22.15044,37.04916,28.576596,4.246141
"008","7am",42.606157,36.01674,15.96461,5.412488,0
"009","7am",19.460329,22.49272,33.43497,16.176809,8.435176
"010","7am",31.647041,27.62607,25.36126,13.808175,1.557451
"011","7am",10.637019,30.05744,30.69513,20.804133,7.806278
"012","7am",54.881157,28.47669,12.76558,3.87657,0
"013","7am",50.996923,19.53287,18.82433,6.347698,4.298183
"014","7am",16.64908,32.69471,33.24751,12.000986,5.40772
"015","7am",6.818961,27.1882,40.11689,18.727178,7.148768
"016","7am",7.017685,11.51381,43.28072,25.214805,12.97298
"017","7am",6.002284,29.25842,25.32312,23.021877,16.394304
"018","7am",27.57243,29.63772,25.91118,15.627362,1.251308
"019","7am",12.925805,34.75539,36.91611,11.002187,4.400512
"020","7am",6.452924,31.89699,42.66979,16.088267,2.892028
"021","7am",21.76405,24.63267,32.88777,16.956174,3.759336
"022","7am",10.861197,32.06226,39.20192,14.30785,3.566772
"023","7am",5.067092,28.31124,25.20122,36.561314,4.859128
"024","7am",17.237885,15.99569,42.10714,20.391035,4.268247
"025","7am",7.662512,27.10603,41.17308,19.320304,4.738077
"026","7am",4.425441,26.93101,39.79484,24.277656,4.571045
"027","7am",17.542151,27.8387,25.94348,24.5919,4.083763
"028","7am",21.963356,17.8114,40.72314,18.206051,1.296056
"029","7am",4.174046,28.08166,42.11885,23.736154,1.889291
"030","7am",19.533343,32.09577,32.42363,13.7665,2.180753
"031","7am",19.128717,38.41914,12.19483,26.946253,3.311056
"001","8am",7.893542,21.505405,37.79694,18.252178,14.551939
"002","8am",11.501262,30.451586,36.28992,19.306979,2.450257
"003","8am",20.144756,19.350019,27.77316,25.200588,7.531477
"004","8am",15.61917,18.724238,35.32594,20.243503,10.08715
"005","8am",26.51589,13.643091,25.36269,24.667755,9.810573
"006","8am",11.846063,9.126054,31.7006,31.2182,16.109087
"007","8am",8.520021,27.217063,38.09726,21.647795,4.517861
"008","8am",37.781201,30.043281,17.50258,14.672934,0
"009","8am",19.242823,22.278647,32.87117,15.747365,9.859999
"010","8am",30.522909,28.861937,22.79329,15.955823,1.866039
"011","8am",13.280778,30.435972,29.65756,18.338171,8.287515
"012","8am",49.76714,28.174126,12.94922,8.017473,1.092045
"013","8am",45.843742,14.878899,25.4399,7.983457,5.854001
"014","8am",13.921212,25.564303,31.86826,19.23578,9.410443
"015","8am",5.665845,25.974277,37.39176,23.447427,7.520694
"016","8am",7.503535,13.632196,46.02003,20.143084,12.701159
"017","8am",7.080094,35.464951,25.07027,19.040496,13.344189
"018","8am",27.159275,27.072526,21.06792,21.766846,2.933431
"019","8am",14.212546,31.103347,35.68047,11.386419,7.617214
"020","8am",9.596161,26.825677,44.22253,16.925998,2.429631
"021","8am",20.051193,27.315125,33.65934,15.421614,3.552727
"022","8am",10.784056,31.052895,39.2175,15.136767,3.808787
