"district","hour","mode1","mode2","mode3"
"129","6am",38.30288,4298.694,536.7358
"130","6am",24.74389,3843.708,641.5332
"131","6am",73.6854,6628.385,2523.4951
"132","6am",842.4443,9123.549,2991.9688
"133","6am",0,7285.357,2435.1507
"134","6am",150.76089,3052.351,654.0057
"135","6am",129.2127,4617.126,658.743
"136","6am",226.43908,3595.628,805.6555
"200","6am",183.94915,6163.757,1084.5127
"201","6am",248.95073,7543.398,1194.6948
"202","6am",964.13183,9471.812,978.6649
"203","6am",332.75328,6391.771,736.4557
"204","6am",563.41388,6148.737,1089.2007
"205","6am",153.3108,7446.933,1778.258
"206","6am",146.20701,4664.028,782.7189
"207","6am",41.15878,5226.864,1015.7912
"208","6am",418.1529,7937.195,1111.8015
"209","6am",0,5397.62,645.4868
"210","6am",219.54528,6074.994,1486.5393
"211","6am",215.82549,6006.013,512.2417
"212","6am",136.33537,5411.266,860.2894
"213","6am",272.30186,4979.568,1247.9818
"214","6am",53.14551,4545.606,1070.4136
"215","6am",169.95801,8863.171,1078.1072
"216","6am",84.79312,6397.06,1112.3295
"217","6am",234.84692,6245.516,1993.8256
"218","6am",500.34277,6301.372,797.2812
"219","6am",77.66548,5343.853,1119.5065
"220","6am",304.44686,5946.616,764.0471
"221","6am",336.63378,4258.156,831.8655
"222","6am",214.30095,9076.131,804.125
"223","6am",78.97722,3048.624,440.3485
"224","6am",184.24512,5602.515,1440.8651
"225","6am",478.92438,4473.131,604.6164
"226","6am",352.74089,5205.779,1313.6635
"227","6am",406.5991,6478.864,1421.5455
"228","6am",633.22753,6535.853,606.3853
"229","6am",499.96505,5761.534,645.4403
"230","6am",100.4917,3923.656,785.5163
"231","6am",164.53665,6329.076,1557.8529
"232","6am",62.07114,3784.407,461.5389
"233","6am",189.72308,4525.655,1082.3818
"001","7am",873.05191,2083.089,4839.8289
"002","7am",2406.14759,3462.62,3722.4361
"003","7am",1410.57724,2399.076,3378.7874
"004","7am",2883.65152,4353.775,4593.1186
"005","7am",2696.90533,2843.698,3311.7094
"006","7am",2727.2969,4649.205,3210.3378
"007","7am",4535.76867,5778.225,5116.9237
"008","7am",1053.5232,3552.656,1089.8923
"009","7am",1541.60878,2958.088,1958.9751
"010","7am",1198.18203,2936.809,2454.2318
"011","7am",1987.44851,3049.209,2036.3534
"012","7am",1061.4438,2319.52,2450.3376
"013","7am",963.79815,3466.214,1448.9153
"014","7am",2799.24129,4324.176,1397.175
"015","7am",1577.28884,3595.636,2652.4658
"016","7am",2340.58235,6166.215,2720.5604
"017","7am",3249.38782,6473.983,2929.262
"018","7am",1193.06348,6053.801,1893.2206
"019","7am",1447.83546,5556.297,2646.2099
"020","7am",1617.31494,5315.609,1833.1826
"021","7am",463.20327,3563.871,1074.97
"022","7am",1979.00016,8420.616,2315.9646
"023","7am",2102.52667,4166.653,2013.0103
"024","7am",1040.74319,5126.226,1382.3515
"025","7am",810.09143,4420.613,1888.2651
"026","7am",638.92498,5086.896,573.4327
"027","7am",1232.11629,4006.099,1210.6004
"028","7am",1477.69131,5867.887,1220.0619
"029","7am",1295.02638,4992.443,1278.8655
"030","7am",6793.6712,6726.68,2805.701
"031","7am",1245.66012,8700.224,1831.9776
"032","7am",1728.36634,3696.816,1651.5945
"033","7am",454.42103,5331.526,628.7012
"034","7am",578.33155,5935.55,623.3148
"035","7am",226.50572,4624.864,1044.2194
"036","7am",480.5032,5112.157,533.5197
"037","7am",361.68318,3734.004,921.9364
"038","7am",1105.15251,10828.994,875.626
"039","7am",312.55485,10824.589,991.1298
