"district","hour","mode1","mode2","mode3"
"038","5am",0,1096.012,0
"039","5am",0,0,0
"040","5am",0,0,0
"041","5am",0,0,0
"042","5am",0,0,0
"043","5am",0,0,0
"044","5am",0,0,0
"045","5am",0,0,0
"046","5am",0,0,0
"047","5am",0,1696.075,0
"048","5am",0,0,0
"049","5am",0,0,0
"050","5am",0,0,0
"051","5am",0,0,0
"052","5am",0,0,0
"053","5am",0,0,0
"101","5am",0,0,0
"102","5am",0,0,0
"103","5am",0,0,0
"104","5am",0,0,0
"105","5am",0,0,0
"106","5am",0,0,0
"107","5am",0,0,0
"108","5am",0,0,0
"109","5am",0,0,0
"110","5am",0,0,0
"111","5am",0,0,0
"112","5am",0,0,0
"113","5am",0,0,0
"114","5am",0,0,0
"115","5am",0,0,0
"116","5am",0,0,0
"117","5am",0,0,0
"118","5am",0,0,0
"119","5am",0,1025.907,0
"120","5am",0,0,0
"121","5am",0,1448.062,0
"122","5am",0,0,0
"123","5am",0,0,0
"124","5am",0,0,0
"125","5am",0,0,0
"126","5am",0,0,0
"127","5am",0,0,0
"128","5am",0,0,0
"129","5am",0,0,0
"130","5am",0,0,0
"131","5am",0,0,0
"132","5am",0,0,0
"133","5am",0,0,0
"134","5am",0,0,0
"135","5am",0,0,0
"136","5am",0,0,0
"200","5am",0,0,0
"201","5am",0,0,0
"202","5am",0,0,0
"203","5am",0,0,0
"204","5am",0,0,0
"205","5am",0,0,0
"206","5am",0,0,0
"207","5am",0,0,0
"208","5am",0,0,0
"209","5am",0,0,0
"210","5am",0,0,0
"211","5am",0,0,0
"212","5am",0,0,0
"213","5am",0,0,0
"214","5am",0,0,0
"215","5am",0,0,0
"216","5am",0,0,0
"217","5am",0,0,0
"218","5am",0,0,0
"219","5am",0,0,0
"220","5am",0,0,0
"221","5am",0,0,0
"222","5am",0,0,0
"223","5am",0,0,0
"224","5am",0,0,0
"225","5am",0,0,0
"226","5am",0,0,0
"227","5am",0,0,0
"228","5am",0,0,0
"229","5am",0,0,0
"230","5am",0,0,0
"231","5am",0,0,0
"232","5am",0,0,0
"233","5am",0,0,0
"001","6am",0,0,0
"002","6am",0,0,0
"003","6am",0,0,0
"004","6am",0,0,0
"005","6am",0,0,0
"006","6am",0,0,0
"007","6am",0,824.0784,0
"008","6am",0,0,0
"009","6am",0,0,0
"010","6am",0,0,0
"011","6am",0,0,0
"012","6am",0,0,0
"013","6am",0,0,0
"014","6am",0,0,0
"015","6am",0,0,0
"016","6am",0,0,0
"017","6am",0,0,0
"018","6am",0,0,0
"019","6am",0,0,0
"020","6am",0,0,0
"021","6am",0,0,0
"022","6am",0,0,0
"023","6am",0,0,0
"024","6am",0,0,0
"025","6am",0,0,0
"026","6am",0,0,0
"027","6am",0,0,0
"028","6am",0,0,0
"029","6am",0,0,0
"030","6am",0,0,0
"031","6am",0,1394.6843,0
"032","6am",0,0,0
"033","6am",0,0,0
"034","6am",0,940.2025,0
"035","6am",0,0,0
"036","6am",0,0,0
"037","6am",0,0,0
"038","6am",0,1449.0233,0
"039","6am",0,1476.5625,0
"040","6am",0,822.9575,0
"041","6am",0,0,0
"042","6am",0,0,0
"043","6am",0,0,0
"044","6am",0,0,0
"045","6am",0,0,0
"046","6am",0,0,0
"047","6am",0,2504.695,0
"048","6am",0,0,0
"049","6am",0,0,0
"050","6am",0,0,0
"051","6am",0,0,0
"052","6am",0,0,0
"053","6am",0,1354.9948,0
"101","6am",0,0,0
"102","6am",0,0,0
"103","6am",0,0,0
"104","6am",0,0,0
"105","6am",0,0,0
"106","6am",0,0,0
"107","6am",0,0,0
"108","6am",0,0,0
"109","6am",0,0,0
"110","6am",0,0,0
"111","6am",0,0,0
"112","6am",0,0,0
"113","6am",0,0,0
"114","6am",0,0,0
"115","6am",0,0,0
"116","6am",0,0,0
"117","6am",0,0,0
"118","6am",0,0,0
"119","6am",0,2087.8788,0
"120","6am",0,0,0
"121","6am",0,2169.488,0
"122","6am",0,0,0
"123","6am",0,0,0
"124","6am",0,0,0
"125","6am",0,0,0
"126","6am",0,0,0
"127","6am",0,0,0
"128","6am",0,0,0
"129","6am",0,0,0
"130","6am",0,0,0
"131","6am",0,0,0
"132","6am",0,0,0
"133","6am",0,0,0
"134","6am",0,0,0
"135","6am",0,0,0
"136","6am",0,0,0
"200","6am",0,0,0
