"11am",19165.80128,11213.13208,7009.62233,4056.80997,9869.70989,9231.38593,4826.5488,2626.84521,9758.39172,10879.51786,2803.66181,3366.87798,2184.73927,7541.9477,1173.08379,3477.11581,5587.22314,7135.29198,7897.06562,3886.51884,4311.16591,2145.05517,6643.39888,13923.51016,23404.51833,2326.46931,3122.02287,1667.8141,1873.68664,8388.84414,11478.44028,4064.23691,2054.78322,3407.77115,2541.34133,1855.552,1937.75875,0,6368.91809,3367.23069,2793.65426,5083.40791,1711.376,11819.12154,4298.642,16830.0535,4263.84233,2968.13012,6907.58337,5679.89993,2002.96459,3980.40168,4850.11004,1478.08059,4883.81739,6172.70677
"12am",18955.55351,7610.64956,5951.66572,3516.7335,7063.78727,8170.21276,4574.38896,3499.88283,8218.70048,9671.97735,2668.38796,3153.83245,1269.25205,6539.1493,0,3402.27867,4983.67237,6168.0675,6059.8098,3227.78023,3345.21443,0,6692.42653,11533.15906,21251.67486,2326.46931,2598.00259,1879.6114,1242.99972,7531.3844,9382.34632,3909.27422,2256.99545,2787.06824,2236.23369,0,0,0,5347.37491,2628.94227,2528.88183,4100.92025,1511.18632,9659.05552,3656.53884,13828.76965,3376.54238,1915.14194,5071.96824,4618.67281,1736.27192,3064.3218,3030.55421,1929.46821,4497.53491,5818.77036
"1pm",17295.76924,11099.28817,5861.88606,3813.09424,9403.30287,8231.38111,5015.24661,3861.35785,7854.52866,10860.53536,2561.28499,3567.46493,2180.49328,6806.98465,1055.22092,3642.38265,5833.37703,6907.14589,6650.76657,2899.79404,4540.27598,1625.23721,7675.8797,12489.74209,22809.00387,2460.58331,3314.56737,1601.77644,1843.60735,9254.25868,11092.73188,3702.84215,2114.21823,3565.17419,2571.47771,0,1998.52394,1655.43795,6028.79244,3171.62035,2357.83836,4736.46838,1598.45548,10617.72111,4087.65287,16110.54189,3765.74824,2905.46665,6061.23521,5829.78329,2197.77595,3554.37174,2791.88242,1853.37645,4248.17194,5904.83866
"2pm",19988.79969,11637.72915,5624.46706,3859.04061,9989.20541,8771.68893,5393.44553,4443.16877,8213.249,11087.85961,2668.68597,4026.60239,2704.9474,7508.48584,1488.02917,3519.95248,5384.66106,8123.1878,7560.65297,3377.14056,4338.58372,1842.57321,7801.21777,12860.47041,25399.76674,1825.25552,3421.89251,3069.14575,2203.70681,8397.31473,12583.55787,4013.2376,3212.92733,3088.56388,2976.63484,1644.96733,2515.61188,1600.18775,7102.49047,3432.97793,2744.81656,5413.80437,1422.57648,11386.12714,3801.20858,16841.45311,3834.23176,3260.28725,6471.01181,6389.55527,2205.79108,3727.21614,4426.76319,2200.42297,4314.88014,6777.35345
"3pm",19039.01038,11285.6576,5393.16963,3962.4449,8585.17483,8261.0264,4476.70829,3543.61113,7900.64779,9658.41227,2709.53227,4022.40595,2606.33125,7213.3136,1063.76138,2900.45513,5505.47476,6804.87229,7598.98366,3056.7897,4300.6426,1817.55006,7675.46707,11853.56771,23148.47945,1885.38022,2993.23329,2396.94277,1838.91968,7922.72403,11571.30652,3551.92574,3592.6537,3102.53666,2448.12325,1962.35727,2473.94964,1559.45539,5097.78584,3857.57167,2988.61947,4433.37281,1835.36703,10725.01553,4455.90866,15653.10781,3748.87888,3113.02401,6375.47564,6167.66421,2221.46868,3583.14401,4592.50617,1872.72509,3992.72577,5972.059
"4pm",16893.03377,9028.45973,5976.69473,4224.12144,7474.3257,5645.76084,3875.36631,2729.41191,6658.84165,7651.66311,2471.32284,3258.24811,2681.9483,4375.19201,1509.72182,2710.27337,4084.954,5404.29128,5399.48053,3506.46052,2666.91381,1870.72227,5980.43616,9780.21605,19346.41998,1775.49569,3016.29279,2643.27695,2071.15793,6401.90149,9452.54134,2390.00959,4397.43982,2512.24244,2269.79113,1374.3295,2059.44505,1751.75693,4733.13995,3222.84004,2709.49802,2645.53946,1525.8348,8505.53936,4392.7723,12788.00573,3451.0997,2714.1504,5665.94549,4381.07081,2304.32332,3300.31825,4100.61495,1434.20335,3519.51541,4579.45614
"5pm",12085.6673,4517.35917,4665.11302,3214.39346,3314.30863,4701.6646,2262.57105,2201.69889,4212.70192,5018.10964,1776.08751,2381.26336,1777.21221,4796.37085,1212.34837,2120.48862,3358.22509,2910.50836,3650.1847,2126.97022,2964.31514,1551.6925,4867.29112,7220.09982,10064.87828,0,2881.1901,2121.21475,1581.49836,3685.49968,5789.0531,1836.17277,3266.52774,2735.76636,1511.08375,0,1566.53875,0,3343.07566,2806.08994,1660.42249,1826.74551,1492.67186,4494.29743,1985.3969,7441.90702,2008.96511,2087.67816,2959.55929,2677.93832,1929.36013,1708.32034,3584.10567,0,2113.43183,3291.78994
"6pm",8745.83533,3044.97571,4183.98751,1609.71505,2281.46212,3820.21211,0,1656.30999,2295.80919,3045.66588,1304.6024,1585.54396,0,4499.1655,0,1402.00376,2806.43813,2888.28666,1717.30989,1968.83301,0,0,3194.44024,4268.31392,4987.61194,0,0,1795.59049,0,2672.94959,3202.12905,0,1608.76254,1943.76317,1267.16878,0,0,0,2528.71117,2223.50455,0,1421.26312,0,3867.05265,0,3198.17498,1769.16934,0,2158.20691,1449.68468,0,0,2347.49577,0,2398.19891,0
"7pm",8808.21255,3720.94863,2224.70335,1263.36045,1859.88767,3586.48118,0,1544.04122,1726.76315,1444.0162,0,0,0,3296.01489,0,0,0,0,1546.90596,1565.59485,0,0,1980.43614,2439.5911,4557.00042,0,0,0,0,1196.3967,2503.84862,0,0,0,0,0,0,0,1514.94182,1439.08858,0,0,0,2603.92092,0,2315.54089,0,0,1291.36537,0,0,0,2084.69821,0,1465.42764,1751.77989
"8pm",7004.81537,3998.96034,2545.00053,0,1698.72936,3575.92867,0,0,1436.91832,1765.66818,0,0,0,2994.57956,0,0,0,0,2185.2213,0,0,0,0,1708.40743,2446.47548,0,0,0,0,0,2059.64848,0,0,0,0,0,0,0,0,1247.20934,0,0,0,1973.73212,0,2058.29019,0,0,0,0,0,0,0,0,0,0
"9pm",6003.37863,3755.76919,2502.10727,0,2345.76438,2621.87076,0,0,992.95376,0,0,0,0,1916.88082,0,0,0,0,0,0,0,0,0,0,1720.83979,0,0,0,0,0,1311.65968,0,0,0,0,0,0,0,0,0,0,0,0,1110.98027,0,0,0,0,0,0,0,0,0,0,0,0
"10pm",3185.29058,2966.15359,2066.34202,0,2494.12083,1899.49032,0,0,0,0,0,0,0,1139.39512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11pm",2288.32887,1941.61089,1795.28004,0,1862.69914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",1129.03384,0,0,0,1392.38985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",0,0,0,0,1425.43217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,1302.69208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
