"district","hour","educmen1","educmen2","educmen3","educmen4"
"002","2pm",8.154107,44.48852,46.96594,0.3914316
"003","2pm",7.445422,42.24608,50.3085,0
"004","2pm",9.551883,44.42382,46.0243,0
"005","2pm",8.011647,54.80141,36.16355,1.0233865
"006","2pm",10.464849,51.09811,38.01865,0.4183881
"007","2pm",15.186538,48.97683,34.97912,0.8575138
"008","2pm",12.949954,52.24996,34.80009,0
"009","2pm",6.468712,50.52172,43.00957,0
"010","2pm",20.622903,46.47692,32.90018,0
"011","2pm",13.603042,54.39568,30.6732,1.3280806
"012","2pm",10.09689,51.5898,35.79751,2.5157989
"013","2pm",12.168988,53.06537,33.58898,1.1766628
"014","2pm",11.601507,56.50443,31.45453,0.4395369
"015","2pm",10.220464,47.47663,42.3029,0
"016","2pm",11.699422,50.60077,36.61897,1.0808405
"017","2pm",17.673831,55.98107,26.3451,0
"018","2pm",15.977201,51.09938,32.92342,0
"001","3pm",6.459712,40.96339,52.5769,0
"002","3pm",7.108252,44.70501,47.76509,0.4216444
"003","3pm",8.548191,41.76245,49.00127,0.688082
"004","3pm",9.165055,40.46159,50.37336,0
"005","3pm",8.435358,54.23591,36.37707,0.9516614
"006","3pm",10.290595,49.13464,40.16334,0.4114214
"007","3pm",16.355646,49.1336,33.62558,0.885171
"008","3pm",13.209941,54.07707,29.97022,2.7427648
"009","3pm",6.28352,51.21699,42.49949,0
"010","3pm",22.96236,47.24624,29.7914,0
"011","3pm",13.769443,47.19451,39.03605,0
"012","3pm",9.187069,51.44133,37.81472,1.5568861
"013","3pm",11.746961,54.31586,32.75282,1.1843604
"014","3pm",11.499892,57.16696,31.33315,0
"015","3pm",9.6681,51.0273,39.3046,0
"016","3pm",11.130788,55.2415,32.97374,0.6539737
"017","3pm",18.637145,52.79649,28.56636,0
"018","3pm",13.803135,54.44152,31.75535,0
"001","4pm",5.927364,40.31663,53.42584,0.3301702
"002","4pm",7.020659,48.09651,44.46408,0.4187498
"003","4pm",6.983323,42.1659,50.85077,0
"004","4pm",8.921805,43.55376,47.52444,0
"005","4pm",9.129771,48.52225,41.32447,1.0235092
"006","4pm",11.023605,49.53032,39.03079,0.415286
"007","4pm",16.696761,49.36734,33.15372,0.7821806
"008","4pm",14.303107,55.38271,27.65561,2.6585725
"009","4pm",7.898832,49.32123,42.77994,0
"010","4pm",20.582425,49.30532,30.11225,0
"011","4pm",14.649728,48.88225,36.46802,0
"012","4pm",9.465072,52.64328,36.38375,1.5079055
"013","4pm",11.586618,52.8497,34.38358,1.1801052
"014","4pm",11.660898,56.83243,31.50667,0
"015","4pm",9.715635,52.33823,37.94614,0
"016","4pm",11.940204,54.94047,32.46746,0.6518692
"017","4pm",19.630681,51.22373,29.14559,0
"018","4pm",15.743607,50.092,32.26362,1.9007713
"001","5pm",7.01654,40.86623,52.11723,0
"002","5pm",9.420893,43.1171,47.01194,0.4500641
"003","5pm",6.995553,41.99723,51.00722,0
"004","5pm",7.215963,44.5773,48.20673,0
"005","5pm",9.499592,46.94449,42.59841,0.957508
"006","5pm",12.398015,55.71235,31.46341,0.426219
"007","5pm",14.513671,49.24602,35.1071,1.1332019
"008","5pm",12.901524,53.20767,30.78227,3.1085416
"009","5pm",7.812782,56.04005,36.14717,0
"010","5pm",17.991135,44.58072,37.42814,0
"011","5pm",13.426613,45.13095,41.44244,0
"012","5pm",10.640797,52.87495,35.02215,1.4621097
"013","5pm",11.377434,48.94592,38.87074,0.8059074
"014","5pm",11.144507,59.27901,29.57649,0
"015","5pm",8.65648,48.93987,42.40365,0
"016","5pm",11.949416,55.99799,31.40022,0.6523722
"017","5pm",17.37418,51.98726,30.63856,0
"018","5pm",13.944177,47.03991,37.51375,1.5021607
"001","6pm",7.469866,35.5593,56.97084,0
"002","6pm",9.558327,39.81503,50.20031,0.4263329
"003","6pm",7.092513,40.51389,51.62953,0.7640674
"004","6pm",7.287959,44.44775,48.26429,0
"005","6pm",9.751805,43.36687,46.03542,0.8459024
"006","6pm",11.204387,60.41482,28.38079,0
"007","6pm",12.222344,49.65428,37.5603,0.563077
"008","6pm",13.708652,53.06806,30.80766,2.4156272
"009","6pm",9.099524,59.97017,30.9303,0
"010","6pm",16.585208,44.80383,38.61096,0
"011","6pm",12.760979,49.13234,38.10668,0
"012","6pm",11.181735,51.26547,36.02222,1.5305799
"013","6pm",10.439688,49.98267,38.8071,0.7705462
"014","6pm",11.284295,53.4603,35.2554,0
"015","6pm",7.989823,50.85443,41.15575,0
"016","6pm",10.401577,58.12673,30.90382,0.5678687
"017","6pm",16.676168,55.26129,27.78013,0.2824122
