"district","hour","cs1","cs2","cs3","cs4","cs5"
"025","8am",3.853449,22.758175,39.70114,26.51783,7.169409
"026","8am",2.1949771,23.976499,37.17961,26.1193,10.529612
"027","8am",6.2109767,28.847388,28.1793,31.89466,4.867674
"028","8am",3.5937208,17.43943,49.02255,19.7221,10.222197
"029","8am",2.214828,21.097879,46.86226,18.56748,11.25755
"030","8am",4.5583406,20.312142,41.90918,20.84251,12.377823
"001","9am",5.181161,21.544305,29.43007,35.85677,7.98769
"002","9am",2.802348,18.015704,27.79544,37.19232,14.194194
"003","9am",3.952873,18.638288,44.06859,21.03198,12.308269
"004","9am",4.831004,19.702434,41.65469,23.10092,10.710959
"005","9am",1.827323,14.25069,36.70224,40.9195,6.300245
"006","9am",3.328156,17.877585,44.10233,21.4374,13.254535
"007","9am",2.98499,25.520306,33.3153,26.27982,11.899582
"008","9am",1.812384,13.04294,41.56675,32.07171,11.506215
"009","9am",2.890233,7.263746,40.2531,27.0168,22.576123
"010","9am",1.372465,14.773558,35.51438,38.51675,9.82285
"011","9am",3.772253,9.704146,44.888,20.73859,20.897018
"012","9am",0,10.552031,43.82586,30.89342,14.728688
"013","9am",3.474257,14.606356,35.28597,29.01863,17.614787
"014","9am",1.780643,8.573323,50.97255,11.38136,27.292127
"015","9am",3.385868,14.543915,38.36154,22.84754,20.861133
"016","9am",2.997608,11.931055,45.74231,22.12309,17.205937
"017","9am",5.288456,25.729964,32.94288,26.26909,9.76961
"018","9am",0,14.590626,45.77696,19.98372,19.648696
"019","9am",2.02622,13.532213,42.61011,34.00209,7.829371
"020","9am",3.241011,11.85116,42.96533,21.46213,20.480373
"021","9am",2.943975,13.348938,48.34391,23.86566,11.497522
"022","9am",6.326962,19.143746,45.45342,18.29508,10.78079
"023","9am",0.568593,8.111501,42.76882,39.75338,8.797704
"024","9am",7.98332,22.544612,36.74326,27.3111,5.417702
"025","9am",3.881645,23.615913,40.56003,24.9294,7.013014
"026","9am",2.983273,23.742411,35.73525,27.11226,10.426808
"027","9am",6.368027,29.597605,30.32505,28.71856,4.990757
"028","9am",3.018748,16.285919,49.37674,21.12286,10.195735
"029","9am",2.358329,20.797567,45.5379,19.85317,11.453036
"030","9am",3.637018,20.858186,39.03643,23.36529,13.103072
"001","10am",5.3659484,20.539811,29.0893,35.48551,9.519425
"002","10am",2.855926,17.957445,30.07156,36.99455,12.120518
"003","10am",3.868672,19.58304,44.19688,20.78194,11.569472
"004","10am",4.8266649,20.022579,40.81133,22.89089,11.448536
"005","10am",1.9155441,14.938699,35.59408,41.72911,5.82257
"006","10am",3.4228301,18.775413,46.50443,22.79092,8.506404
"007","10am",3.1558786,25.698321,36.10362,23.34308,11.699092
"008","10am",1.8251679,13.713597,41.8228,32.12059,10.517842
"009","10am",2.9294797,6.810083,37.59563,29.10383,23.560977
"010","10am",1.4812076,18.857222,31.62969,39.18066,8.851219
"011","10am",2.6788485,13.706678,43.04261,18.85619,21.715674
"012","10am",0,13.652687,40.17937,33.94957,12.218369
"013","10am",3.3945744,11.778996,40.94986,27.09681,16.77976
"014","10am",4.1739399,8.444456,49.51693,13.41676,24.447914
"015","10am",3.7186742,9.920716,43.15843,19.90604,23.296137
"016","10am",1.6578612,10.365286,44.48164,25.4935,18.00172
"017","10am",5.31587,25.86334,32.77324,24.17551,11.872038
"018","10am",0,15.28695,44.43569,20.03389,20.243469
"019","10am",1.3365009,16.341737,42.71175,30.2719,9.338117
"020","10am",3.6261907,12.144411,42.21542,21.22251,20.791473
"021","10am",2.7856478,12.794578,45.62778,25.67684,13.115152
"022","10am",7.0813394,20.100729,47.49524,19.37774,5.944944
"023","10am",0.5751951,8.780881,44.27821,38.69454,7.671172
"024","10am",7.6537444,23.050492,33.67538,30.19012,5.430255
"025","10am",5.6665872,23.811464,39.79721,22.69859,8.026145
"026","10am",3.1286547,24.230505,34.74945,27.76458,10.126814
"027","10am",6.3859588,28.486169,28.81516,30.84932,5.463392
"028","10am",2.0078581,18.017717,50.66762,19.38619,9.920617
"029","10am",2.3033567,20.466052,45.1698,20.87473,11.186065
"030","10am",2.4291138,19.443862,42.18154,24.03069,11.914792
"001","11am",5.3284852,21.891145,28.88621,35.14031,8.753852
"002","11am",3.4374651,18.94299,27.12218,36.13789,14.359479
"003","11am",3.7313976,18.6124,45.51389,21.53402,10.60829
"004","11am",4.7270772,18.942041,41.56043,24.92279,9.847659
"005","11am",1.8330002,14.294966,38.20016,40.84836,4.823513
"006","11am",3.2917183,17.850088,46.73753,19.38056,12.740105
"007","11am",2.558379,27.001575,34.25617,25.15955,11.024327
"008","11am",1.855894,13.356062,43.92301,30.17013,10.694906
"009","11am",3.3749868,8.418776,35.21197,28.51265,24.481618
"010","11am",1.4129488,18.507272,33.06841,39.50789,7.503476
"011","11am",3.0750557,13.7852,41.16493,18.85873,23.116085
"012","11am",0,10.969523,36.9366,31.79853,20.295355
"013","11am",3.1183602,13.407809,34.48494,31.00324,17.985653
"014","11am",3.1451151,7.156296,51.91632,13.91512,23.867151
"015","11am",4.1825062,10.111326,48.59286,23.60301,13.510294
"016","11am",1.739209,11.187161,45.49546,25.08323,16.494935
"017","11am",5.1081005,24.852478,32.3535,26.57112,11.114807
"018","11am",0,15.508767,45.02634,18.71757,20.747325
"019","11am",1.2985402,16.470791,40.75547,32.67737,8.797825
"020","11am",3.7567731,11.24281,42.06894,19.9347,22.996776
"021","11am",2.408558,11.671951,51.88791,21.3479,12.683685
"022","11am",6.9218821,21.062619,41.31593,20.50593,10.19363
"023","11am",0.5562012,9.652239,41.54792,39.63767,8.605968
