"district","hour","cs1","cs2","cs3","cs4","cs5"
"019","8am",83.19639,1093.4975,2512.291,2019.5724,699.5807
"020","8am",360.37175,1061.9206,3661.535,2139.5038,2028.9021
"021","8am",197.08523,802.5323,3793.176,1808.7894,1011.5638
"022","8am",350.70737,1221.3812,2569.139,1117.2546,632.9099
"023","8am",29.45372,563.9164,2744.634,2183.7122,455.7304
"024","8am",390.95928,1079.9198,1657.384,913.1645,265.3158
"025","8am",333.50127,1969.633,3435.981,2295.0168,620.4849
"026","8am",139.49944,1523.801,2362.911,1659.9846,669.1983
"027","8am",374.51386,1739.4602,1699.175,1923.2069,293.5144
"028","8am",274.93554,1334.1936,3750.442,1508.8278,782.0433
"029","8am",118.7952,1131.6124,2513.519,995.8912,603.8134
"030","8am",354.01172,1577.4899,3254.768,1618.6796,961.2916
"001","9am",512.23159,2129.9614,2909.582,3544.9528,789.6969
"002","9am",189.34911,1217.2853,1878.082,2513.0111,959.0735
"003","9am",487.95756,2300.7806,5439.993,2596.2671,1519.3792
"004","9am",381.44482,1555.6583,3288.957,1823.9945,845.7124
"005","9am",119.97525,935.6476,2409.733,2686.6227,413.6508
"006","9am",205.52491,1104.0015,2723.468,1323.832,818.5125
"007","9am",230.02203,1966.5837,2567.262,2025.1119,916.9766
"008","9am",121.02859,870.9901,2775.772,2141.7064,768.3697
"009","9am",222.16674,558.3504,3094.179,2076.7298,1735.3837
"010","9am",69.5458,748.6084,1799.591,1951.7275,497.7452
"011","9am",444.97246,1144.6947,5294.959,2446.3101,2464.9986
"012","9am",0,837.7188,3479.306,2452.6081,1169.3008
"013","9am",249.8933,1050.5932,2538.019,2087.2263,1266.981
"014","9am",83.47281,401.8995,2389.486,533.5343,1279.3978
"015","9am",273.94676,1176.7317,3103.789,1848.5687,1687.8507
"016","9am",362.09636,1441.2132,5525.447,2672.3617,2078.3932
"017","9am",444.3452,2161.8759,2767.918,2207.1739,820.8594
"018","9am",0,926.7737,2907.681,1269.3343,1248.0543
"019","9am",129.12557,862.3719,2715.429,2166.8623,498.9449
"020","9am",314.44257,1149.7984,4168.491,2082.2535,1987.0037
"021","9am",234.40399,1062.8638,3849.219,1900.222,915.4512
"022","9am",350.70737,1061.1496,2519.511,1014.1077,597.5858
"023","9am",29.45372,420.1843,2215.47,2059.2673,455.7304
"024","9am",390.95928,1104.0551,1799.392,1337.4797,265.3158
"025","9am",333.50127,2029.0204,3484.817,2141.8722,602.5407
"026","9am",191.46809,1523.801,2293.508,1740.0799,669.1983
"027","9am",374.51386,1740.6824,1783.465,1688.9841,293.5144
"028","9am",226.88718,1224.0395,3711.125,1587.5809,766.3051
"029","9am",118.7952,1047.6276,2293.862,1000.056,576.9193
"030","9am",302.04307,1732.2074,3241.854,1940.4146,1088.1694
"001","10am",512.23159,1960.7233,2776.855,3387.4349,908.721
"002","10am",189.34911,1190.5862,1993.757,2452.7544,803.5955
"003","10am",487.95756,2470.0187,5574.575,2621.2364,1459.2633
"004","10am",381.44482,1582.3574,3225.265,1809.0359,904.7624
"005","10am",119.97525,935.6476,2229.345,2613.597,364.6819
"006","10am",205.52491,1127.3756,2792.373,1368.4879,510.7697
"007","10am",230.02203,1873.0695,2631.479,1701.4037,852.7099
"008","10am",121.02859,909.3614,2773.309,2129.9465,697.4479
"009","10am",222.16674,516.4651,2851.189,2207.1848,1786.8243
"010","10am",69.5458,885.3861,1485.08,1839.6139,415.5833
"011","10am",326.42876,1670.2154,5244.92,2297.705,2646.1447
"012","10am",0,1138.9395,3351.859,2832.1536,1019.2853
"013","10am",249.8933,867.1167,3014.545,1994.7451,1235.2504
"014","10am",202.01651,408.7073,2396.594,649.3641,1183.2663
"015","10am",273.94676,730.8379,3179.389,1466.4354,1716.1765
"016","10am",211.33986,1321.3398,5670.404,3249.8452,2294.8128
"017","10am",444.3452,2161.8759,2739.464,2020.7926,992.365
"018","10am",0,942.474,2739.558,1235.1335,1248.0543
"019","10am",83.19639,1017.2634,2658.781,1884.4076,581.2922
"020","10am",360.37175,1206.9147,4195.379,2109.0984,2066.2618
"021","10am",223.54203,1026.7364,3661.528,2060.5091,1052.4618
"022","10am",361.56933,1026.3323,2425.081,989.4171,303.5456
"023","10am",29.45372,449.6381,2267.332,1981.4115,392.8138
"024","10am",373.95287,1126.2197,1645.339,1475.0536,265.3158
"025","10am",484.25777,2034.8908,3401.008,1939.7866,685.9019
"026","10am",191.46809,1482.8637,2126.604,1699.1426,619.7429
"027","10am",374.51386,1670.6129,1689.907,1809.2034,320.4086
"028","10am",145.36974,1304.49,3668.356,1403.5677,718.2567
"029","10am",118.7952,1055.5329,2329.624,1076.6102,576.9193
"030","10am",206.26096,1651.0177,3581.72,2040.4944,1011.709
"001","11am",512.23159,2104.4135,2776.855,3378.066,841.5149
"002","11am",216.04819,1190.5862,1704.657,2271.303,902.5079
"003","11am",461.25848,2300.7806,5626.221,2661.9382,1311.3488
"004","11am",381.44482,1528.5012,3353.66,2011.1097,794.6429
"005","11am",119.97525,935.6476,2500.313,2673.6449,315.7131
"006","11am",205.52491,1114.5054,2918.15,1210.0633,795.4535
"007","11am",197.88556,2088.5185,2649.647,1946.0412,852.7099
"008","11am",121.02859,870.9901,2864.356,1967.4873,697.4479
"009","11am",254.30321,634.3497,2653.201,2148.4109,1844.6751
"010","11am",69.5458,910.934,1627.638,1944.5914,369.3235
"011","11am",355.90027,1595.4691,4764.339,2182.6685,2675.4055
"012","11am",0,1032.4743,3476.549,2992.9434,1910.2409
"013","11am",220.42179,947.7331,2437.574,2191.4687,1271.3188
"014","11am",153.96815,350.3343,2541.548,681.2105,1168.4091
"015","11am",273.94676,662.274,3182.746,1545.9556,884.9004
"016","11am",211.33986,1359.4071,5528.378,3047.9868,2004.3809
"017","11am",444.3452,2161.8759,2814.377,2311.3777,966.8586
"018","11am",0,919.7391,2670.263,1110.0354,1230.4091
"019","11am",83.19639,1055.2699,2611.169,2093.6121,563.6693
"020","11am",360.37175,1078.4764,4035.5,1912.2533,2205.9859
