"district","hour","age1","age2","age3","age4"
"014","5pm",801.36,674.16,3663.36,1399.2
"015","5pm",521.52,750.48,4184.88,1500.96
"016","5pm",903.12,788.64,4197.6,1208.4
"017","5pm",814.08,725.04,4401.12,1373.76
"018","5pm",1055.76,890.4,4095.84,1233.84
"019","5pm",750.48,699.6,3256.32,750.48
"020","5pm",457.92,216.24,2772.96,1424.64
"021","5pm",686.88,852.24,3790.56,992.16
"022","5pm",368.88,699.6,3726.96,2073.36
"023","5pm",661.44,610.56,3116.4,1017.6
"024","5pm",737.76,597.84,2747.52,1221.12
"025","5pm",648.72,699.6,3612.48,1602.72
"026","5pm",445.2,445.2,2747.52,1691.76
"027","5pm",559.68,394.32,3065.52,1221.12
"028","5pm",661.44,686.88,3269.04,852.24
"029","5pm",610.56,597.84,2912.88,585.12
"001","6pm",775.92,826.8,3714.24,2213.28
"002","6pm",1221.12,992.16,2849.28,2124.24
"003","6pm",623.28,699.6,3510.72,1564.56
"004","6pm",1768.08,1958.88,6449.04,3968.64
"005","6pm",1869.84,1170.24,6169.2,3943.2
"006","6pm",1958.88,1704.48,8064.48,2493.12
"007","6pm",1653.6,1564.56,8725.92,6131.04
"008","6pm",1017.6,890.4,4197.6,1895.28
"009","6pm",877.68,661.44,3981.36,1602.72
"010","6pm",572.4,394.32,3014.64,1780.8
"011","6pm",1068.48,636,3472.56,1144.8
"012","6pm",1704.48,1513.68,7199.52,3650.64
"013","6pm",2238.72,1488.24,8166.24,2823.84
"014","6pm",775.92,674.16,3688.8,1411.92
"015","6pm",559.68,725.04,4223.04,1500.96
"016","6pm",928.56,788.64,4312.08,1195.68
"017","6pm",864.96,763.2,4490.16,1399.2
"018","6pm",1119.36,941.28,4273.92,1246.56
"019","6pm",750.48,750.48,3281.76,763.2
"020","6pm",521.52,216.24,2811.12,1462.8
"021","6pm",699.6,826.8,3828.72,1030.32
"022","6pm",394.32,712.32,3688.8,2086.08
"023","6pm",674.16,597.84,3205.44,1017.6
"024","6pm",725.04,610.56,2785.68,1208.4
"025","6pm",686.88,699.6,3777.84,1564.56
"026","6pm",457.92,419.76,2785.68,1691.76
"027","6pm",597.84,407.04,3116.4,1233.84
"028","6pm",648.72,686.88,3192.72,852.24
"029","6pm",699.6,610.56,2658.48,534.24
"001","7pm",737.76,966.72,3510.72,2276.88
"002","7pm",1157.52,1004.88,2772.96,2086.08
"003","7pm",674.16,661.44,3625.2,1577.28
"004","7pm",1806.24,1920.72,6283.68,3930.48
"005","7pm",1729.92,1221.12,6461.76,4032.24
"006","7pm",2060.64,1640.88,8217.12,2493.12
"007","7pm",1640.88,1628.16,8675.04,6118.32
"008","7pm",1043.04,890.4,4362.96,1958.88
"009","7pm",852.24,648.72,3994.08,1602.72
"010","7pm",585.12,394.32,3129.12,1806.24
"011","7pm",1170.24,648.72,3752.4,1132.08
"012","7pm",1844.4,1437.36,7161.36,3701.52
"013","7pm",2111.52,1488.24,7988.16,2836.56
"014","7pm",864.96,597.84,3739.68,1386.48
"015","7pm",585.12,725.04,4134,1539.12
"016","7pm",992.16,801.36,4426.56,1195.68
