"district","hour","act1","act2","act3","act4","act5"
"019","2pm",2662.696,488.50499,0,20.641056,268.33373
"020","2pm",3068.637,460.98358,20.641056,6.880352,192.64986
"021","2pm",2759.021,158.2481,0,6.880352,89.44458
"001","3pm",2986.073,2580.132,1272.86512,61.923168,598.59062
"002","3pm",2655.816,1052.69386,0,901.326112,227.05162
"003","3pm",2717.739,1093.97597,330.256896,433.462176,165.12845
"004","3pm",2972.312,805.00118,6.880352,48.162464,151.36774
"005","3pm",2745.26,2119.14842,75.683872,110.085632,316.49619
"006","3pm",2855.346,1561.8399,0,48.162464,151.36774
"007","3pm",2951.671,509.14605,96.324928,68.80352,123.84634
"008","3pm",2972.312,743.07802,144.487392,75.683872,144.48739
"009","3pm",3233.765,1630.64342,495.385344,185.769504,233.93197
"010","3pm",3082.398,1025.17245,34.40176,27.521408,309.61584
"011","3pm",3082.398,1155.89914,48.162464,158.248096,261.45338
"012","3pm",2910.389,254.57302,0,0,75.68387
"013","3pm",2655.816,61.92317,0,0,41.28211
"014","3pm",3323.21,2724.61939,6.880352,371.539008,192.64986
"015","3pm",2965.432,323.37654,55.042816,34.40176,178.88915
"016","3pm",3047.996,433.46218,55.042816,116.965984,116.96598
"017","3pm",3013.594,55.04282,0,6.880352,27.52141
"018","3pm",3385.133,798.12083,68.80352,82.564224,151.36774
"019","3pm",3013.594,385.29971,0,6.880352,185.7695
"020","3pm",3323.21,378.41936,13.760704,13.760704,172.0088
"021","3pm",2903.509,130.72669,0,13.760704,75.68387
"001","4pm",3522.74,956.36893,839.402944,20.641056,536.667456
"002","4pm",3371.372,784.36013,0,447.22288,220.171264
"003","4pm",3213.124,736.19766,34.40176,275.21408,247.692672
"004","4pm",3784.194,454.10323,6.880352,13.760704,110.085632
"005","4pm",3213.124,990.77069,27.521408,55.042816,295.855136
"006","4pm",3508.98,688.0352,0,34.40176,172.0088
"007","4pm",3660.347,227.05162,6.880352,41.282112,82.564224
"008","4pm",3736.031,295.85514,41.282112,96.324928,48.162464
"009","4pm",3921.801,846.2833,268.333728,75.683872,199.530208
"010","4pm",3488.338,412.82112,0,27.521408,254.573024
"011","4pm",3797.954,632.99238,0,130.726688,227.051616
"012","4pm",3646.587,110.08563,0,0,75.683872
"013","4pm",3054.876,61.92317,0,13.760704,0
"014","4pm",4073.168,1541.19885,0,316.496192,158.248096
"015","4pm",3701.629,178.88915,6.880352,34.40176,96.324928
"016","4pm",3687.869,151.36774,6.880352,89.444576,75.683872
"017","4pm",3570.903,41.28211,0,0,6.880352
"018","4pm",4045.647,350.89795,13.760704,61.923168,116.965984
"019","4pm",3591.544,185.7695,0,20.641056,103.20528
"020","4pm",3866.758,233.93197,13.760704,6.880352,123.846336
"021","4pm",3543.381,55.04282,0,0,55.042816
"001","5pm",3901.16,385.299712,392.180064,6.880352,598.59062
"002","5pm",3756.672,330.256896,0,254.573024,405.94077
"003","5pm",3680.988,357.778304,27.521408,55.042816,309.61584
"004","5pm",4279.579,123.846336,6.880352,13.760704,185.7695
"005","5pm",3550.262,337.137248,34.40176,34.40176,371.53901
"006","5pm",4031.886,364.658656,6.880352,6.880352,220.17126
"007","5pm",3997.485,75.683872,0,13.760704,178.88915
"008","5pm",4238.297,89.444576,13.760704,41.282112,116.96598
"009","5pm",4258.938,261.453376,75.683872,27.521408,316.49619
"010","5pm",3852.997,233.931968,0,13.760704,268.33373
"011","5pm",4224.536,268.333728,0,123.846336,392.18006
"012","5pm",4066.288,55.042816,0,0,75.68387
"013","5pm",3192.483,41.282112,0,0,0
"014","5pm",4506.631,488.504992,0,172.0088,199.53021
"015","5pm",4224.536,27.521408,0,13.760704,96.32493
"016","5pm",4190.134,82.564224,6.880352,41.282112,82.56422
"017","5pm",3777.313,6.880352,0,0,13.7607
"018","5pm",4369.024,158.248096,6.880352,34.40176,151.36774
"019","5pm",3969.963,96.324928,0,0,96.32493
"020","5pm",4307.1,110.085632,0,0,123.84634
"021","5pm",3921.801,20.641056,0,6.880352,75.68387
"001","6pm",3956.202,247.692672,364.658656,6.880352,694.91555
"002","6pm",3729.151,227.051616,0,412.82112,357.7783
"003","6pm",3584.663,295.855136,20.641056,123.846336,364.65866
"004","6pm",4190.134,68.80352,6.880352,6.880352,288.97478
"005","6pm",3495.219,295.855136,48.162464,55.042816,557.30851
"006","6pm",4128.211,227.051616,6.880352,27.521408,282.09443
"007","6pm",4045.647,55.042816,0,41.282112,240.81232
"008","6pm",4183.254,75.683872,13.760704,61.923168,233.93197
