"district","hour","educmen1","educmen2","educmen3","educmen4"
"011","10am",540.1176,4062.0141,1174.1871,613.15388
"012","10am",828.3725,5417.9063,1245.8726,238.31852
"013","10am",2143.8642,5979.9468,1767.8128,389.95566
"014","10am",647.875,2534.2187,507.4148,63.31602
"015","10am",964.7454,2546.6016,389.3612,78.05261
"016","10am",1516.6818,1317.2836,406.1181,230.43321
"017","10am",1102.836,4574.3848,1030.2859,71.06316
"018","10am",994.0282,4319.7775,865.506,203.77778
"019","10am",756.5132,1805.5534,447.6407,288.41172
"020","10am",535.0933,4225.3045,664.4283,160.06216
"021","10am",1778.2339,7452.6333,1285.4564,307.50906
"022","10am",381.571,842.3749,156.2928,0
"023","10am",724.4359,2224.4384,301.1409,280.65514
"024","10am",1318.1916,3199.1902,432.3987,177.71941
"025","10am",597.1269,4403.5977,434.2633,44.08094
"026","10am",1278.4872,2618.4542,544.1784,153.52899
"027","10am",462.461,1433.9776,226.0701,88.30463
"028","10am",330.5588,2736.9784,710.3851,118.74638
"029","10am",956.4159,3663.0041,1508.4989,406.90995
"030","10am",900.1986,1421.2469,550.2799,117.2017
"031","10am",1244.1073,4786.4986,1600.8383,145.52509
"032","10am",519.5943,3247.9339,733.6356,366.15955
"033","10am",1239.9445,3146.457,530.2845,106.6389
"034","10am",519.0274,1911.9321,471.958,221.92764
"035","10am",796.6993,1800.8321,434.9778,246.47612
"036","10am",1554.1788,3771.92,751.5738,322.28124
"037","10am",2304.927,3706.9579,1114.622,269.33095
"038","10am",601.04,2405.6552,501.8517,134.38191
"039","10am",1601.0204,2348.5464,1627.3609,283.30731
"040","10am",2998.6111,3368.0292,987.3789,112.95669
"041","10am",760.9462,2230.3392,1042.7147,436.66981
"001","11am",1141.3037,5056.6458,2854.7508,1980.61642
"002","11am",596.4229,4459.3016,2657.2955,1005.48098
"003","11am",984.6227,2824.0548,620.0884,448.02862
"004","11am",400.1959,3553.182,1136.9212,971.79618
"005","11am",1318.2115,4292.7114,1738.7113,540.20738
"006","11am",1140.3968,3601.7035,884.3783,362.84278
"007","11am",373.1202,2185.7254,336.094,209.19639
"008","11am",1606.2775,3863.146,926.7527,360.77678
"009","11am",448.7155,4539.2839,1908.6329,1098.67626
"010","11am",1050.0657,5098.8365,2204.8808,488.14875
"011","11am",629.9976,3741.2117,1184.2838,634.50694
"012","11am",723.5252,5762.655,1353.7378,279.73473
"013","11am",1690.1363,5731.4781,1647.8296,389.95566
"014","11am",849.9994,2491.1147,402.6913,63.31602
"015","11am",1132.8052,2436.5201,307.0093,41.20058
"016","11am",1602.1433,1474.5428,379.6716,253.61545
"017","11am",1224.1447,4941.4586,1006.6991,71.06316
"018","11am",992.1806,4549.7443,947.9608,203.77778
"019","11am",756.5132,1677.2328,514.4463,276.14248
"020","11am",536.3559,4376.2798,664.4283,160.06216
"021","11am",1799.4944,6743.2325,1231.878,358.49872
"022","11am",427.4326,928.4388,156.2928,8.897747
"023","11am",679.1952,2409.4506,172.6789,241.87511
"024","11am",1396.9811,3342.6226,524.3138,116.34799
"025","11am",597.1269,4359.2087,475.7234,44.08094
"026","11am",1278.4872,2774.9839,544.1784,153.52899
"027","11am",489.6615,1657.1257,268.0543,88.30463
"028","11am",330.5588,2692.1652,754.0532,56.72445
"029","11am",1198.336,3704.5867,1408.1764,339.13426
"030","11am",929.1058,1249.6731,619.6782,117.2017
"031","11am",1210.1885,5085.5902,1536.6816,238.72464
"032","11am",599.1191,3000.1372,655.4886,288.48063
"033","11am",1195.1172,3484.2987,602.6672,106.6389
"034","11am",439.3671,2016.9153,510.9395,242.02703
"035","11am",778.0993,1879.1475,455.1429,242.24565
"036","11am",1601.3789,4102.5607,657.1207,232.43285
"037","11am",2187.2604,3411.2123,1135.2465,359.17934
"038","11am",584.3049,2540.9211,388.7281,134.38191
"039","11am",1672.8637,2436.126,1820.0765,226.58286
"040","11am",2982.5256,3342.1995,824.202,112.95669
"041","11am",799.8019,2166.3943,1119.5386,359.26407
"001","12am",1072.9025,4547.7611,3068.997,1739.36068
"002","12am",268.5683,4012.2072,2424.3426,695.70837
"003","12am",940.4469,2702.7508,551.7558,494.2517
"004","12am",364.5463,3455.9319,1165.6211,1103.08259
"005","12am",1397.6013,4102.304,1866.14,696.40282
"006","12am",1259.6261,3317.5335,1105.604,263.15935
"007","12am",446.9653,2244.0817,272.4144,101.38275
"008","12am",1606.2775,3797.3891,1056.117,471.09425
"009","12am",491.2826,4873.5295,2302.3613,1134.80181
"010","12am",910.2569,5130.2048,1888.2972,419.02
"011","12am",625.2632,3891.2583,1142.6853,526.73602
"012","12am",723.5252,5938.2182,1337.0687,315.63871
"013","12am",1521.6427,5325.0347,1402.6868,383.10524
"014","12am",849.2433,2522.9514,537.2314,0
"015","12am",1125.7779,2737.8066,333.8848,121.65247
"016","12am",1738.7434,1583.9459,352.7939,196.27186
"017","12am",1285.0989,5241.9726,954.6483,342.37823
"018","12am",1122.8783,4415.4263,666.3438,203.77778
"019","12am",741.7834,1723.3389,628.0935,373.13965
"020","12am",536.3559,4268.2539,764.5266,218.68249
"021","12am",1751.2505,6731.5001,1023.8922,232.35767
"022","12am",452.2013,946.2476,264.8661,50.42626
"023","12am",611.7335,2403.9748,291.0171,241.87511
"024","12am",1369.1635,3331.2218,472.9011,116.34799
"025","12am",656.9543,4769.9814,566.3916,44.08094
"026","12am",1455.6223,2808.3561,609.4828,189.46337
"027","12am",553.0265,1634.3287,319.5474,88.30463
"028","12am",470.9925,2782.2522,864.8282,203.25515
"029","12am",1263.3846,3767.6822,1422.6817,452.22796
"030","12am",923.7703,1353.0964,686.8398,117.2017
"031","12am",1280.2556,5145.3094,1555.436,233.09481
"032","12am",603.5593,3140.3944,1024.1622,327.1835
"033","12am",1239.9445,3612.6018,727.3688,157.86775
"034","12am",439.3671,2161.2274,503.3233,242.02703
"035","12am",761.7379,1775.4342,421.1178,249.32187
"036","12am",1544.8118,4430.7236,760.4872,462.01142
"037","12am",2071.0849,3168.9349,864.9086,219.44916
"038","12am",640.1688,2652.3975,388.7281,134.38191
"039","12am",1754.9265,2445.963,1657.1501,226.58286
"040","12am",3192.9208,3216.5298,957.1707,0
"041","12am",869.2527,1977.955,1052.566,359.26407
"001","1pm",1471.3924,5399.2116,2977.3382,2062.24859
"002","1pm",268.5683,4095.0663,2984.6673,836.90378
"003","1pm",940.4469,2828.8362,601.5367,515.89389
"004","1pm",469.1232,3994.3902,1162.622,920.83866
"005","1pm",1439.6649,4396.1255,1748.186,587.7003
"006","1pm",1314.9942,3571.4421,1053.512,293.984
"007","1pm",510.0822,2171.4767,355.3331,133.71514
