"district","hour","occ1","occ2","occ3","occ4","occ5"
"014","12am",0,0,0,0,0
"015","12am",0,0,0,0,0
"016","12am",0,0,0,0,0
"017","12am",974.2749,0,0,0,0
"018","12am",2078.7865,0,0,0,0
"019","12am",0,0,0,0,0
"020","12am",0,0,0,0,0
"021","12am",1454.5303,1606.4109,0,0,0
"022","12am",0,0,0,0,0
"023","12am",1031.7063,0,0,0,0
"024","12am",0,0,0,0,0
"025","12am",0,0,0,0,0
"026","12am",0,0,0,0,0
"027","12am",0,0,0,0,0
"028","12am",0,0,0,0,0
"029","12am",1691.1665,0,0,0,0
"030","12am",0,0,0,0,0
"031","12am",1591.4167,0,0,0,0
"032","12am",1174.2236,0,0,0,0
"033","12am",0,0,0,0,0
"034","12am",0,0,0,0,0
"035","12am",0,0,0,0,0
"036","12am",761.9071,0,0,0,0
"037","12am",679.0187,716.4967,0,0,0
"038","12am",1075.2257,0,0,0,0
"039","12am",0,0,0,0,0
"040","12am",0,0,0,0,0
"041","12am",727.5873,0,0,0,0
"001","1pm",5107.9943,1759.7014,0,0,0
"002","1pm",2574.023,2379.8898,0,0,0
"003","1pm",804.64,0,0,0,0
"004","1pm",851.97,1886.3345,0,0,0
"005","1pm",2484.5189,0,0,0,0
"006","1pm",924.8968,676.2696,0,0,0
"007","1pm",676.2731,0,0,0,0
"008","1pm",756.2778,0,0,0,0
"009","1pm",2801.3337,0,0,0,0
"010","1pm",1886.9757,0,0,0,0
"011","1pm",1276.5953,1322.1681,0,0,0
"012","1pm",2740.7728,0,0,0,0
"013","1pm",2814.0665,0,0,0,0
"014","1pm",0,0,0,0,0
"015","1pm",710.3056,0,0,0,0
"016","1pm",0,0,0,0,0
"017","1pm",1005.7603,0,0,0,0
"018","1pm",1546.8862,0,0,0,0
"019","1pm",0,0,0,0,0
"020","1pm",0,0,0,0,0
"021","1pm",2065.7616,1793.9569,0,0,0
"022","1pm",0,0,0,0,0
"023","1pm",1088.0972,0,0,0,0
"024","1pm",0,0,0,0,0
"025","1pm",0,0,0,0,0
"026","1pm",0,0,0,0,0
"027","1pm",0,0,0,0,0
"028","1pm",0,0,0,0,0
"029","1pm",1368.7697,0,0,0,0
"030","1pm",0,0,0,0,0
"031","1pm",2060.2048,0,0,0,0
"032","1pm",1233.8711,0,0,0,0
"033","1pm",0,0,0,0,0
"034","1pm",0,0,0,0,0
"035","1pm",0,0,0,0,0
"036","1pm",886.7266,0,0,0,0
"037","1pm",629.3919,952.684,0,0,0
"038","1pm",1072.0663,0,0,0,0
"039","1pm",0,0,0,0,0
"040","1pm",0,0,0,0,0
"041","1pm",834.5371,0,0,0,0
"001","2pm",4914.4201,2026.1147,1031.98,1027.2704,0
"002","2pm",2695.9713,2236.7204,0,0,0
"003","2pm",830.8172,0,0,0,0
"004","2pm",1001.9948,1788.9591,0,0,0
"005","2pm",2400.7043,0,0,322.9801,0
"006","2pm",970.188,527.6845,0,0,0
"007","2pm",563.9936,0,0,0,0
"008","2pm",769.5216,0,0,0,0
"009","2pm",2180.6107,0,0,0,0
"010","2pm",1908.5735,0,0,0,0
"011","2pm",1525.8328,1762.9341,0,0,0
"012","2pm",2215.6603,0,0,0,0
"013","2pm",3555.7709,0,0,1130.5999,0
"014","2pm",0,0,0,0,0
"015","2pm",736.1769,0,0,0,0
"016","2pm",0,0,0,0,0
"017","2pm",929.1565,0,0,0,0
"018","2pm",1327.0908,0,0,0,0
"019","2pm",0,0,0,0,0
"020","2pm",0,0,0,0,0
"021","2pm",2040.1061,1758.6626,442.227,476.8978,0
"022","2pm",0,0,0,0,0
