"district","hour","sex1","sex2"
"002","1pm",44.11009,55.88991
"003","1pm",49.75922,50.24078
"004","1pm",53.86092,46.13908
"005","1pm",38.07974,61.92026
"006","1pm",39.78486,60.21514
"007","1pm",37.63945,62.36055
"008","1pm",32.48115,67.51885
"009","1pm",49.21857,50.78143
"010","1pm",47.45721,52.54279
"011","1pm",53.35206,46.64794
"012","1pm",58.09128,41.90872
"013","1pm",46.15422,53.84578
"014","1pm",37.67127,62.32873
"015","1pm",46.70193,53.29807
"016","1pm",44.27811,55.72189
"017","1pm",42.85334,57.14666
"018","1pm",52.61691,47.38309
"019","1pm",55.14311,44.85689
"020","1pm",44.83597,55.16403
"021","1pm",39.19554,60.80446
"022","1pm",48.45887,51.54113
"023","1pm",47.13748,52.86252
"024","1pm",39.4055,60.5945
"025","1pm",45.50509,54.49491
"026","1pm",42.9484,57.0516
"027","1pm",43.88156,56.11844
"028","1pm",47.8494,52.1506
"029","1pm",45.0175,54.9825
"030","1pm",44.57535,55.42465
"031","1pm",49.83587,50.16413
"032","1pm",38.84786,61.15214
"033","1pm",35.40651,64.59349
"034","1pm",44.0868,55.9132
"035","1pm",47.47383,52.52617
"036","1pm",49.33537,50.66463
"037","1pm",42.67301,57.32699
"038","1pm",55.8917,44.1083
"039","1pm",36.47006,63.52994
"040","1pm",39.04688,60.95312
"041","1pm",56.40772,43.59228
"001","2pm",43.25767,56.74233
"002","2pm",44.41333,55.58667
"003","2pm",48.19382,51.80618
"004","2pm",54.86775,45.13225
"005","2pm",39.54903,60.45097
"006","2pm",42.09922,57.90078
"007","2pm",37.55771,62.44229
"008","2pm",35.93658,64.06342
"009","2pm",46.50517,53.49483
"010","2pm",49.15083,50.84917
"011","2pm",52.86194,47.13806
"012","2pm",54.41968,45.58032
"013","2pm",44.83589,55.16411
"014","2pm",42.50325,57.49675
"015","2pm",48.46029,51.53971
"016","2pm",42.29016,57.70984
"017","2pm",43.16786,56.83214
"018","2pm",52.64369,47.35631
"019","2pm",53.62101,46.37899
"020","2pm",43.51796,56.48204
"021","2pm",37.8747,62.1253
"022","2pm",45.27364,54.72636
"023","2pm",47.77626,52.22374
"024","2pm",43.37116,56.62884
"025","2pm",46.88989,53.11011
"026","2pm",43.49133,56.50867
"027","2pm",41.57218,58.42782
"028","2pm",50.51456,49.48544
"029","2pm",48.48466,51.51534
"030","2pm",49.14332,50.85668
"031","2pm",47.99589,52.00411
"032","2pm",43.3939,56.6061
"033","2pm",34.70855,65.29145
"034","2pm",43.33529,56.66471
"035","2pm",48.06465,51.93535
"036","2pm",48.31527,51.68473
"037","2pm",46.74855,53.25145
"038","2pm",55.25031,44.74969
"039","2pm",38.29408,61.70592
"040","2pm",39.99115,60.00885
"041","2pm",56.29827,43.70173
"001","3pm",43.96613,56.03387
"002","3pm",44.08377,55.91623
