"district","hour","cs1","cs2","cs3","cs4","cs5"
"028","9am",0,0,0,0,0
"029","9am",0,738.3178,0,592.7,0
"030","9am",0,0,0,0,0
"031","9am",0,673.512,944.482,581.8966,0
"032","9am",0,0,0,0,0
"033","9am",0,0,0,0,0
"034","9am",0,0,0,0,0
"035","9am",0,0,0,0,0
"036","9am",0,0,0,0,0
"037","9am",0,0,0,0,0
"038","9am",0,0,0,0,0
"039","9am",0,0,0,0,0
"040","9am",0,0,0,0,0
"041","9am",0,0,0,0,0
"001","10am",0,741.1857,2657.1747,1926.0861,688.2419
"002","10am",0,0,1085.0796,849.7189,0
"003","10am",0,0,747.2875,557.6887,0
"004","10am",0,0,0,0,0
"005","10am",0,862.4671,1117.207,740.9178,0
"006","10am",0,527.6177,538.1071,0,0
"007","10am",0,0,0,0,0
"008","10am",0,0,0,0,0
"009","10am",0,1307.6077,0,933.3301,0
"010","10am",0,0,556.1873,922.324,0
"011","10am",0,0,639.197,0,0
"012","10am",0,1477.3533,0,672.5865,0
"013","10am",0,1616.8448,1811.4786,856.5611,0
"014","10am",0,0,0,0,0
"015","10am",0,0,0,0,0
"016","10am",0,0,0,0,0
"017","10am",0,0,0,0,0
"018","10am",0,1600.8471,0,0,0
"019","10am",0,0,0,0,0
"020","10am",0,0,0,0,0
"021","10am",0,0,1465.4642,605.039,0
"022","10am",0,0,0,0,0
"023","10am",0,0,0,0,0
"024","10am",0,0,0,0,0
"025","10am",0,0,0,0,0
"026","10am",0,0,0,0,0
"027","10am",0,0,0,0,0
"028","10am",0,0,0,0,0
"029","10am",0,699.3711,0,646.0702,0
"030","10am",0,0,0,0,0
"031","10am",0,576.6907,735.0669,624.5721,0
"032","10am",0,0,0,0,0
"033","10am",0,0,0,0,0
"034","10am",0,0,0,0,0
"035","10am",0,0,0,0,0
"036","10am",0,0,0,0,0
"037","10am",0,0,0,0,0
"038","10am",0,698.5857,0,0,0
"039","10am",0,0,0,0,0
"040","10am",0,0,0,0,0
"041","10am",0,591.1125,0,0,0
"001","11am",0,0,2278.5873,1680.0846,0
"002","11am",0,0,1071.6851,878.7929,0
"003","11am",0,0,0,0,0
"004","11am",0,0,0,0,0
"005","11am",0,709.4066,1022.8758,658.9222,0
"006","11am",0,0,669.3851,0,0
"007","11am",0,0,0,0,0
"008","11am",0,0,0,0,0
"009","11am",0,1310.743,0,1026.7078,0
"010","11am",0,0,646.8659,1006.9858,0
"011","11am",0,0,564.5787,0,0
