"district","hour","rev5","rev1","rev2","rev3","rev4"
"067","6am",26.11336,12.955466,31.17409,21.86235,7.894737
"068","6am",24.93888,16.625917,31.29584,17.60391,9.535452
"069","6am",18.76877,7.357357,21.17117,27.17718,25.525526
"070","6am",21.71053,11.654135,18.60902,27.53759,20.488722
"071","6am",20.3125,15.972222,18.92361,24.47917,20.3125
"072","6am",28.16692,7.451565,15.20119,22.35469,26.825633
"073","6am",22.1902,22.334294,23.19885,22.62248,9.654179
"074","6am",29.73708,15.503173,26.56392,21.03354,7.162285
"075","6am",30.36093,12.314225,27.81316,24.62845,4.883227
"076","6am",23.78947,7.789474,30.73684,27.15789,10.526316
"001","7am",20.65476,12.5,18.92857,30.952381,16.964286
"003","7am",20.21541,18.641259,19.63546,26.097763,15.410108
"004","7am",21.67442,26.790698,23.81395,21.116279,6.604651
"005","7am",23.44666,18.171161,25.20516,23.563892,9.61313
"006","7am",22.07245,20.556024,28.64364,22.493682,6.234204
"007","7am",22.84173,25,23.92086,21.852518,6.384892
"010","7am",25.43228,10.302594,20.96542,27.809798,15.489914
"011","7am",25.31293,6.815021,18.637,29.763561,19.471488
"012","7am",25.26539,9.129512,19.46214,28.167021,17.975938
"013","7am",21.39108,14.173228,24.01575,33.070866,7.349081
"014","7am",23.04833,4.275093,14.12639,33.828996,24.72119
"015","7am",27.11268,15.140845,27.28873,21.65493,8.802817
"016","7am",24.78921,11.63575,30.52277,26.98145,6.070826
"017","7am",23.96694,11.363636,22.52066,31.61157,10.53719
"018","7am",25.63025,11.344538,26.89076,23.739496,12.394958
"019","7am",26.44444,10.222222,28.66667,25.111111,9.555556
"020","7am",27.84431,21.107784,23.05389,22.005988,5.988024
"021","7am",24.93438,18.503937,23.75328,25.328084,7.480315
"023","7am",26.06516,5.388471,27.3183,29.072682,12.155388
"024","7am",27.86885,15.456674,25.99532,25.526932,5.152225
"025","7am",30.66667,32,24.33333,9.333333,3.666667
"026","7am",29.51289,5.730659,22.6361,30.659026,11.461318
"027","7am",24.11924,9.756098,32.24932,27.100271,6.775068
"028","7am",27.15054,9.677419,23.65591,27.688172,11.827957
"029","7am",27.57143,7.142857,21,29.285714,15
"030","7am",30.72983,12.419974,22.53521,25.992318,8.322663
"031","7am",24.04908,21.96319,26.62577,22.08589,5.276074
"032","7am",22.62873,15.04065,23.57724,28.590786,10.162602
"033","7am",24.48234,11.327649,30.08526,24.482339,9.622412
"034","7am",25,7.608696,23.00725,32.246377,12.137681
"035","7am",24.13793,7.105538,21.63009,29.258098,17.868339
"036","7am",26.28993,8.476658,27.76413,27.027027,10.44226
"037","7am",26.401,13.823163,26.7746,24.408468,8.592777
"038","7am",23.1441,10.480349,33.84279,21.39738,11.135371
"039","7am",21.72775,8.638743,37.43455,26.701571,5.497382
"040","7am",23.01887,8.113208,32.64151,28.490566,7.735849
"041","7am",20.36082,9.793814,35.56701,28.608247,5.670103
"042","7am",25.68807,7.110092,21.67431,31.995413,13.53211
"043","7am",27.34554,14.302059,24.59954,25.171625,8.581236
"044","7am",25.04726,14.461248,22.1172,26.559546,11.814745
"045","7am",32.4263,8.843537,26.0771,21.995465,10.657596
"046","7am",22.56098,12.5,26.37195,27.134146,11.432927
"047","7am",30.17241,9.482759,28.16092,27.298851,4.885057
"048","7am",24.34663,10.591472,25.8597,27.647868,11.554333
"049","7am",27.52443,6.351792,29.31596,27.035831,9.771987
"050","7am",27.98434,10.176125,25.24462,25.048924,11.545988
"051","7am",19.61538,13.076923,27.69231,28.076923,11.538462
"052","7am",24.77419,5.935484,29.67742,26.83871,12.774194
"053","7am",22.89157,9.036145,25,28.614458,14.457831
"054","7am",22.45763,12.288136,32.20339,28.389831,4.661017
"055","7am",23.82671,14.079422,31.76895,23.826715,6.498195
"056","7am",25.74526,12.195122,36.58537,18.699187,6.775068
"059","7am",22.39502,4.354588,22.86159,35.614308,14.774495
"060","7am",24.21053,13.947368,25.78947,23.684211,12.368421
"061","7am",28.88889,2.962963,18.2716,29.876543,20
"062","7am",29.7546,14.110429,22.08589,28.220859,5.828221
"063","7am",26.91415,14.385151,33.87471,18.329466,6.49652
"064","7am",29.07216,12.783505,33.40206,19.793814,4.948454
"065","7am",19.90172,17.444717,30.46683,25.798526,6.388206
"066","7am",23.92473,15.994624,30.24194,20.698925,9.139785
"067","7am",27.07838,14.964371,30.16627,18.527316,9.263658
"068","7am",27.74566,18.208092,30.0578,15.606936,8.381503
"069","7am",18.84876,6.207675,22.1219,29.232506,23.589165
"070","7am",22.29673,10.142498,18.60855,28.918692,20.033529
"071","7am",21.6545,12.895377,19.46472,26.885645,19.099757
"072","7am",26.82927,7.04607,16.12466,25.609756,24.390244
"073","7am",22.9612,14.251781,22.6445,26.920032,13.222486
"074","7am",30.96192,15.831663,25.3507,21.042084,6.813627
"075","7am",29.42643,14.713217,28.92768,22.44389,4.488778
"076","7am",24.55243,8.951407,29.41176,28.388747,8.695652
"001","8am",19.44828,10.712644,18.94253,33.195402,17.701149
"003","8am",19.79566,14.559387,20.30651,28.99106,16.347382
"004","8am",21.73507,25.373134,24.34701,21.36194,7.182836
"005","8am",23.86002,17.179215,24.17815,25.132556,9.650053
