"district","hour","occ1","occ2","occ3","occ4","occ5"
"025","7am",9771.703,3266.6047,718.8377,2474.4688,367.9241
"026","7am",3264.884,861.2326,680.6679,1692.3637,586.8385
"027","7am",5763.968,818.9555,2056.1043,3290.4524,1369.2961
"028","7am",7550.392,2263.3216,804.3269,3107.6412,1011.8675
"029","7am",1906.363,181.4722,758.2302,1043.3585,407.9718
"030","7am",7013.452,2491.1383,1100.1446,1143.666,633.0162
"031","7am",10435.916,4585.0589,732.6712,1758.4324,278.9146
"032","7am",5573.671,807.2769,295.5833,1635.8899,395.6863
"033","7am",4085.259,4392.8297,745.732,2210.5226,280.5764
"034","7am",5052.597,1284.5649,448.4723,1882.1615,477.4082
"035","7am",4981.93,1662.9265,784.9276,1947.3345,104.9906
"036","7am",9247.692,4055.2272,735.412,2590.0841,135.2478
"037","7am",5540.365,4714.5669,245.5657,998.7433,0
"038","7am",2356.497,131.9333,48.0473,1985.107,122.2567
"039","7am",2166.022,661.9835,381.0105,349.1909,250.415
"041","7am",9288.389,1664.8758,1221.8372,5213.836,530.4116
"042","7am",4022.064,327.677,260.2928,3367.7262,554.0048
"043","7am",3605.641,62.2275,138.2505,3410.4225,137.0536
"044","7am",10814.187,1474.8723,1419.4071,4272.3271,251.0478
"045","7am",2100.788,185.6232,176.0799,1054.4721,139.7859
"046","7am",2661.368,221.1355,197.4855,2094.6812,0
"047","7am",3929.271,278.354,207.9989,2999.1273,352.6804
"048","7am",3149.87,537.461,173.4796,2352.9412,349.0177
"049","7am",2828.07,250.1739,164.042,2833.6204,241.2732
"050","7am",15774.876,4296.0347,1939.1358,5606.8547,1724.4787
"051","7am",9518.112,699.4704,1381.4241,3338.4401,550.183
"052","7am",14044.235,2375.0423,1797.2491,10979.1333,1437.4655
"053","7am",11788.768,1051.3616,244.0707,6948.9066,1281.4188
"054","7am",5700.782,483.4595,824.3592,5099.4288,891.1978
"055","7am",9689.723,667.0905,820.4305,9128.3192,1570.6455
"056","7am",4308.026,2040.5966,377.0989,3165.4212,303.1554
"057","7am",6330.624,1382.4727,851.6748,4683.3293,1048.8937
"058","7am",7032.317,561.6454,315.7038,5181.5393,808.6054
