"district","hour","educmen1","educmen2","educmen3","educmen4"
"001","5pm",6.66577,27.43219,35.30563,30.596412
"002","5pm",6.793993,33.95496,27.50984,31.741207
"003","5pm",10.171155,35.9329,29.89633,23.99961
"004","5pm",14.328726,31.2225,38.5736,15.875173
"005","5pm",8.558561,38.37667,33.8223,19.242466
"006","5pm",16.496966,44.79192,21.96496,16.746154
"007","5pm",19.936588,37.22163,22.86467,19.977113
"008","5pm",10.08613,41.82304,31.36264,16.728182
"009","5pm",8.036919,56.73422,29.98249,5.246369
"010","5pm",11.09768,45.95255,36.93075,6.019021
"011","5pm",17.524298,34.25862,22.5513,25.665773
"012","5pm",13.878847,45.73283,33.69848,6.689847
"013","5pm",16.278307,38.20268,33.27982,12.239193
"014","5pm",14.62254,43.79137,31.43186,10.154232
"015","5pm",8.9329,46.07162,29.02089,15.974582
"001","6pm",8.52118,29.90513,23.79125,37.782439
"002","6pm",9.55817,29.55779,24.99671,35.887335
"003","6pm",9.817221,36.95752,32.69722,20.528045
"004","6pm",14.217009,32.37918,31.03317,22.370637
"005","6pm",8.859102,42.37168,31.13186,17.637362
"006","6pm",13.474533,32.28938,37.87702,16.359072
"007","6pm",19.139645,42.88515,28.18671,9.788491
"008","6pm",8.81227,42.54129,31.61627,17.030176
"009","6pm",5.891549,49.77615,37.55509,6.777208
"010","6pm",8.24051,42.5843,41.13333,8.041856
"011","6pm",19.170535,37.01733,24.48377,19.328363
"012","6pm",12.995291,50.27981,29.93632,6.788584
"013","6pm",12.493259,36.65665,34.45395,16.396134
"014","6pm",13.810163,44.31732,28.05687,13.815649
"015","6pm",9.111436,41.63902,26.80996,22.439579
"001","7pm",8.790286,28.21699,26.05893,36.933787
"002","7pm",8.239262,30.87974,25.01736,35.863632
"003","7pm",12.436957,37.43444,31.39733,18.731279
"004","7pm",16.995424,44.84091,27.94306,10.220605
"005","7pm",9.264725,41.27033,28.61947,20.845476
"006","7pm",12.862396,33.73585,35.72009,17.681662
"007","7pm",17.034924,38.60434,24.57434,19.786391
"008","7pm",8.614999,40.65117,34.43212,16.301711
"009","7pm",5.93576,47.46983,38.05419,8.540218
"010","7pm",8.133793,40.9537,42.23245,8.680062
"011","7pm",18.916848,34.48439,22.21598,24.382778
"012","7pm",12.028853,50.43692,31.13946,6.394766
"013","7pm",11.744647,36.813,33.2279,18.214449
"014","7pm",8.013149,45.56091,30.04926,16.376684
"015","7pm",8.268996,41.06926,29.92006,20.741679
"001","8pm",9.262197,27.69387,27.68475,35.359183
"002","8pm",7.991885,25.88181,28.87365,37.252647
"003","8pm",11.474505,39.35165,30.11207,19.061772
"004","8pm",17.315282,46.78194,25.92724,9.975538
"005","8pm",8.961769,37.15477,34.46207,19.42139
"006","8pm",13.638572,31.83425,36.24187,18.285308
"007","8pm",16.950739,41.42804,24.13021,17.491015
"008","8pm",8.724699,40.6486,30.88362,19.74308
"009","8pm",5.854251,48.81433,36.22256,9.108856
"010","8pm",7.744703,39.9922,44.89756,7.365544
"011","8pm",19.478124,35.37153,19.5668,25.58355
"012","8pm",11.659929,49.85642,29.11401,9.369641
"013","8pm",11.550363,36.38096,33.00269,19.065986
"014","8pm",7.750581,45.09201,30.59213,16.565278
"015","8pm",8.35205,39.92712,28.02414,23.696696
"001","9pm",8.871878,26.74487,30.78042,33.602841
"002","9pm",7.432983,24.11876,28.91776,39.530499
"003","9pm",11.591983,39.58127,31.05767,17.769079
"004","9pm",17.606318,46.1435,25.5734,10.676787
"005","9pm",8.862665,37.46089,34.08097,19.59547
"006","9pm",13.465704,32.93359,35.47846,18.122253
"007","9pm",18.577904,42.66203,19.59003,19.170043
"008","9pm",9.482058,40.36888,29.44732,20.701744
"009","9pm",5.647579,48.18811,37.37702,8.787287
"010","9pm",7.740613,39.97108,45.23712,7.05119
"011","9pm",19.117503,36.10141,19.20454,25.576549
"012","9pm",11.173198,50.11649,29.7318,8.978516
"013","9pm",11.360302,36.93097,31.65825,20.05047
"014","9pm",8.397156,44.07834,30.74202,16.782484
"015","9pm",8.249654,38.3748,30.55733,22.818214
"001","10pm",9.13396,26.50818,30.57286,33.784998
"002","10pm",7.527497,24.82714,27.47593,40.169437
"003","10pm",11.786703,39.93402,29.63851,18.640768
"004","10pm",16.92558,44.13686,28.67358,10.263975
"005","10pm",8.936468,36.84808,34.65687,19.558576
"006","10pm",13.813442,32.24242,36.00435,17.939782
"007","10pm",17.866972,44.56834,18.84036,18.72432
"008","10pm",9.64679,40.54462,30.58401,19.224571
"009","10pm",5.588598,47.68485,37.5536,9.172946
"010","10pm",7.679775,39.74804,44.88158,7.690607
"011","10pm",18.690113,36.25708,19.71734,25.335461
"012","10pm",10.775826,50.35348,29.19358,9.677111
"013","10pm",11.976508,36.23357,31.37141,20.418509
"014","10pm",8.472538,44.31764,31.018,16.191826
"015","10pm",7.997141,37.84224,30.29604,23.864585
"001","11pm",9.464002,26.47228,29.47519,34.588523
"002","11pm",7.840399,25.44075,28.0063,38.712545
"003","11pm",11.808332,40.0073,29.51185,18.672522
"004","11pm",16.906009,42.4126,30.70305,9.978342
"005","11pm",8.785707,36.95402,34.55193,19.708342
"006","11pm",13.795753,33.06319,36.79699,16.34406
"007","11pm",16.849296,44.07635,18.67374,20.400611
"008","11pm",9.466181,39.7483,30.30728,20.478243
"009","11pm",5.483201,46.78555,38.20931,9.521936
"010","11pm",7.986409,38.99085,44.38016,8.642583
"011","11pm",18.044103,35.00388,20.70349,26.248524
"012","11pm",10.689809,49.95154,29.55615,9.802501
"013","11pm",12.05689,36.26534,32.65745,19.020318
"014","11pm",8.584822,44.90497,30.1038,16.406411
"015","11pm",7.68788,36.92675,30.7306,24.654769
"001","12pm",9.659241,26.55602,29.01317,34.771571
"002","12pm",7.840399,25.44075,28.0063,38.712545
"003","12pm",11.88364,40.26245,29.70006,18.15385
"004","12pm",17.065672,40.82608,30.07377,12.034483
"005","12pm",8.785707,36.95402,34.55193,19.708342
"006","12pm",13.818175,33.08287,36.72833,16.370623
"007","12pm",16.78632,43.91161,18.97771,20.324361
"008","12pm",9.421478,39.56059,30.63639,20.381537
"009","12pm",5.341007,45.57228,37.79967,11.287035
"010","12pm",7.58596,39.16054,44.5733,8.680196
"011","12pm",18.144281,34.43566,21.91852,25.501541
"012","12pm",10.689809,49.95154,29.55615,9.802501
"013","12pm",11.858164,36.25294,32.11918,19.769722
"014","12pm",8.584822,44.90497,30.1038,16.406411
"015","12pm",7.64072,36.70023,31.15552,24.50353
"001","1am",13.119035,25.539,27.90204,33.439919
"002","1am",8.210065,21.92537,29.32677,40.537797
"003","1am",9.960577,41.2732,30.44565,18.320574
"004","1am",16.851992,41.567,29.69721,11.883799
"005","1am",8.785707,36.95402,34.55193,19.708342
"006","1am",13.759574,32.94257,36.57257,16.725287
"007","1am",16.132804,46.09521,18.23888,19.533105
"008","1am",9.421478,39.56059,30.63639,20.381537
"009","1am",5.306557,45.92335,37.55586,11.214231
"010","1am",7.58596,39.16054,44.5733,8.680196
"011","1am",18.144281,34.43566,21.91852,25.501541
"012","1am",10.689809,49.95154,29.55615,9.802501
"013","1am",11.858164,36.25294,32.11918,19.769722
"014","1am",8.564206,44.79712,30.03151,16.607164
"015","1am",7.64072,36.70023,31.15552,24.50353
"001","2am",13.079462,25.46196,27.81788,33.640696
"002","2am",8.210065,21.92537,29.32677,40.537797
"003","2am",9.960577,41.2732,30.44565,18.320574
"004","2am",16.851992,41.567,29.69721,11.883799
"005","2am",8.785707,36.95402,34.55193,19.708342
"006","2am",13.759574,32.94257,36.57257,16.725287
"007","2am",16.074651,46.28952,18.17314,19.462695
"008","2am",9.375116,39.36592,30.97772,20.281241
"009","2am",5.306557,45.92335,37.55586,11.214231
"010","2am",7.58596,39.16054,44.5733,8.680196
"011","2am",18.144281,34.43566,21.91852,25.501541
"012","2am",10.689809,49.95154,29.55615,9.802501
"013","2am",11.858164,36.25294,32.11918,19.769722
"014","2am",8.564206,44.79712,30.03151,16.607164
"015","2am",7.64072,36.70023,31.15552,24.50353
"001","3am",13.079462,25.46196,27.81788,33.640696
"002","3am",8.210065,21.92537,29.32677,40.537797
"003","3am",9.58323,39.7096,33.08065,17.626517
"004","3am",16.851992,41.567,29.69721,11.883799
"005","3am",8.785707,36.95402,34.55193,19.708342
"006","3am",13.759574,32.94257,36.57257,16.725287
"007","3am",16.074651,46.28952,18.17314,19.462695
"008","3am",9.464856,38.78552,31.27425,20.475378
"009","3am",5.306557,45.92335,37.55586,11.214231
"010","3am",8.241017,42.54211,39.78713,9.429742
"011","3am",18.144281,34.43566,21.91852,25.501541
"012","3am",10.689809,49.95154,29.55615,9.802501
"013","3am",11.858164,36.25294,32.11918,19.769722
"014","3am",8.564206,44.79712,30.03151,16.607164
"015","3am",7.64072,36.70023,31.15552,24.50353
