"district","hour","act1","act2","act3","act4","act5"
"126","12am",0,819.2247,0,0,0
"127","12am",0,0,0,0,0
"128","12am",0,0,0,0,0
"129","12am",0,1021.892,0,0,0
"130","12am",0,0,0,0,0
"101","1pm",0,2202.7598,0,0,611.7329
"102","1pm",0,3150.6858,1146.428,0,1047.7265
"103","1pm",0,2074.1272,1312.574,0,0
"104","1pm",0,1262.7079,1457.327,0,0
"105","1pm",0,693.9074,0,0,0
"106","1pm",0,2327.1347,0,0,0
"107","1pm",0,2591.2842,0,0,0
"108","1pm",0,1926.433,0,0,761.0117
"109","1pm",0,0,0,0,0
"110","1pm",0,1087.0102,0,0,0
"111","1pm",0,834.6953,0,0,0
"112","1pm",0,1000.3697,0,0,0
"113","1pm",0,781.6271,0,0,0
"114","1pm",0,1060.476,0,0,0
"115","1pm",0,0,0,0,0
"116","1pm",0,0,0,0,0
"117","1pm",0,1131.7512,0,0,0
"118","1pm",0,914.5214,0,0,0
"119","1pm",0,724.4781,0,0,0
"120","1pm",0,0,0,0,0
"121","1pm",0,0,0,0,0
"122","1pm",0,0,0,0,0
"123","1pm",0,1457.4064,0,0,0
"124","1pm",0,0,0,0,0
"125","1pm",0,0,0,0,0
"126","1pm",0,1201.8598,0,0,0
"127","1pm",0,0,0,0,0
"128","1pm",0,0,0,0,0
"129","1pm",0,1179.3486,0,0,0
"130","1pm",0,0,0,0,0
"101","2pm",0,2154.7178,0,582.5207,1076.404
"102","2pm",0,3400.8155,1146.428,0,1928.0342
"103","2pm",0,1775.8033,1420.022,1337.3001,535.1741
"104","2pm",0,1327.7885,1373.98,0,660.8878
"105","2pm",0,816.7597,0,0,0
"106","2pm",0,2302.9571,0,0,710.2031
"107","2pm",0,2674.8934,0,0,0
"108","2pm",0,2261.8848,0,1334.823,1158.6912
"109","2pm",0,0,0,0,0
"110","2pm",0,1216.6809,0,0,643.471
"111","2pm",0,834.6953,0,0,563.7156
"112","2pm",0,1193.6638,0,0,0
"113","2pm",0,0,0,0,0
"114","2pm",0,1060.476,0,0,0
"115","2pm",0,0,0,0,0
"116","2pm",0,0,0,0,0
"117","2pm",0,1059.9568,0,0,548.6369
"118","2pm",0,0,0,0,0
"119","2pm",0,724.4781,0,0,387.3184
"120","2pm",0,0,0,0,0
"121","2pm",0,0,0,0,0
"122","2pm",0,0,0,0,0
"123","2pm",0,1376.6213,0,0,706.1539
"124","2pm",0,0,0,0,0
"125","2pm",0,0,0,0,0
"126","2pm",0,1264.2879,0,0,0
"127","2pm",0,0,0,0,0
"128","2pm",0,0,0,0,0
"129","2pm",0,1147.381,0,0,0
"130","2pm",0,0,0,0,0
"101","3pm",0,2111.0955,0,919.3242,1149.8778
"102","3pm",0,3275.7231,818.1711,0,1669.3034
"103","3pm",0,1941.4268,1230.2252,1506.2238,918.5318
"104","3pm",0,1226.1722,1338.4818,0,0
"105","3pm",0,816.7597,0,0,617.9275
"106","3pm",0,1895.6943,0,0,790.7246
"107","3pm",0,2380.5048,0,0,0
"108","3pm",0,2074.2908,0,1524.9196,798.0496
"109","3pm",0,0,0,0,0
"110","3pm",0,1062.316,0,0,0
"111","3pm",0,820.938,0,0,0
"112","3pm",0,1089.4036,0,0,0
"113","3pm",0,0,0,0,0
"114","3pm",0,1102.1188,0,0,0
"115","3pm",0,0,0,0,0
"116","3pm",0,0,0,0,0
"117","3pm",0,1102.9452,0,0,515.1888
"118","3pm",0,0,0,0,0
"119","3pm",0,754.133,0,0,429.189
"120","3pm",0,0,0,0,0
"121","3pm",0,0,0,0,0
"122","3pm",0,0,0,0,0
"123","3pm",0,1495.7488,0,0,0
"124","3pm",0,0,0,0,0
"125","3pm",0,0,0,0,0
"126","3pm",0,1138.3541,0,0,0
"127","3pm",0,0,0,0,0
"128","3pm",0,0,0,0,0
"129","3pm",0,774.2172,0,0,0
"130","3pm",0,0,0,0,0
"101","4pm",0,1852.4047,0,805.1383,989.1056
"102","4pm",0,2775.7945,0,0,996.9562
"103","4pm",0,1591.9748,0,1230.3492,501.3616
"104","4pm",0,1028.8588,1137.176,0,0
"105","4pm",0,730.2536,0,0,0
"106","4pm",0,1425.0949,0,0,859.0172
"107","4pm",0,1702.7119,0,0,0
"108","4pm",0,1686.7298,0,1051.7849,1104.1631
"109","4pm",0,0,0,0,0
"110","4pm",0,0,0,0,0
"111","4pm",0,0,0,0,0
"112","4pm",0,0,0,0,0
"113","4pm",0,0,0,0,0
"114","4pm",0,810.2669,0,0,0
"115","4pm",0,0,0,0,0
"116","4pm",0,0,0,0,0
"117","4pm",0,655.7278,0,0,0
"118","4pm",0,0,0,0,0
"119","4pm",0,0,0,0,461.0203
"120","4pm",0,0,0,0,0
"121","4pm",0,0,0,0,0
"122","4pm",0,0,0,0,0
"123","4pm",0,1329.9066,0,0,0
"124","4pm",0,0,0,0,0
"125","4pm",0,0,0,0,0
"126","4pm",0,0,0,0,0
"127","4pm",0,0,0,0,0
"128","4pm",0,0,0,0,0
"129","4pm",0,0,0,0,0
"130","4pm",0,0,0,0,0
"101","5pm",0,1222.3404,0,1154.1904,787.1033
"102","5pm",0,1814.7804,0,0,590.2549
"103","5pm",0,868.4983,0,1274.2915,0
"104","5pm",0,0,0,0,0
"105","5pm",0,0,0,0,0
