"variable","code_sec","ressect","poidsp"
"h10","7510","9204",1050.74163036502
"h10","7510","9205",667.247911015616
"h10","7510","9206",1617.33850209407
"h10","7510","9207",396.040545054557
"h10","7510","9208",1582.79338235901
"h10","7510","9209",968.398632976167
"h10","7510","9210",673.642811094252
"h10","7510","9212",2056.24530507299
"h10","7510","9302",169.840288424357
"h10","7510","9303",2184.96596391467
"h10","7510","9306",790.82118011928
"h10","7510","9308",260.577239002472
"h10","7510","9309",502.344414995335
"h10","7510","9310",402.172434372961
"h10","7510","9311",1108.68370188495
"h10","7510","9312",698.592622977451
"h10","7510","9402",993.398987542961
"h10","7510","9403",381.5143468529
"h10","7510","9404",274.631458352278
"h10","7510","9406",264.678980033416
"h10","7510","9407",1090.73778265386
"h10","7510","9408",212.374208427157
"h10","7510","9409",3212.82098137603
"h10","7510","9410",483.615893881551
"h10","7510","9412",84.253772954963
"h10","7510","9413",538.737663830194
"h10","7510","9414",220.216851736848
"h10","7510","9501",827.76088517084
"h10","7510","9502",295.949932019175
"h10","7510","9503",186.360389299971
"h10","7510","9504",153.774174285018
"h10","7510","9505",361.729709782192
"h10","7510","9507",284.602993528481
"h10","7510","9509",765.578723800026
"h10","7510","9511",206.776178546524
"h10","7511","7501",758.431934358085
"h10","7511","7502",1566.54903535658
"h10","7511","7503",1681.87634759777
"h10","7511","7504",1208.29082916592
"h10","7511","7505",1049.80477695181
"h10","7511","7506",921.030586757964
"h10","7511","7507",460.543640664315
"h10","7511","7508",1509.16372497997
"h10","7511","7509",2788.82206078127
"h10","7511","7510",883.205989643162
"h10","7511","7512",1937.64379723607
"h10","7511","7513",1066.52008952017
"h10","7511","7514",1307.5460261444
"h10","7511","7701",5403.81751458149
"h10","7511","7702",597.433896980407
"h10","7511","7703",501.861011150303
"h10","7511","7708",363.56945846334
"h10","7511","7709",686.977317686438
"h10","7511","7710",365.158716083097
"h10","7511","7713",84.6704940742161
"h10","7511","7801",1168.99172960259
"h10","7511","7802",768.353075076674
"h10","7511","7803",1556.4317093942
"h10","7511","7806",132.900210069497
"h10","7511","7808",277.437247918338
"h10","7511","7809",485.761003032536
"h10","7511","7811",279.413891768187
"h10","7511","7813",230.196016072152
"h10","7511","7814",152.685798380076
"h10","7511","7815",504.858830952377
"h10","7511","7816",783.842222760412
"h10","7511","9101",825.102488866213
"h10","7511","9105",688.911468409407
"h10","7511","9107",307.305264881697
"h10","7511","9108",263.762473584146
"h10","7511","9111",175.723462071805
"h10","7511","9114",184.993570056505
"h10","7511","9201",1221.77704611834
"h10","7511","9202",548.782150577286
"h10","7511","9203",1691.71204164207
"h10","7511","9205",617.183661473683
"h10","7511","9206",345.111596044402
"h10","7511","9207",604.107610511139
"h10","7511","9208",1465.27903694835
"h10","7511","9209",829.778199979595
"h10","7511","9302",504.908828803688
"h10","7511","9303",1106.44827716125
"h10","7511","9304",420.976182849835
"h10","7511","9305",1242.02372056396
"h10","7511","9306",925.294502427764
"h10","7511","9308",189.437357488007
"h10","7511","9310",732.855285747865
"h10","7511","9311",738.741592682379
"h10","7511","9312",2017.3701891193
"h10","7511","9402",1637.26796988849
"h10","7511","9403",995.061676776087
"h10","7511","9404",187.091691273435
"h10","7511","9405",471.955446952449
"h10","7511","9407",359.131577112007
"h10","7511","9408",468.357541524828
"h10","7511","9409",383.278811325502
"h10","7511","9413",308.703279986671
"h10","7511","9501",783.825157923596
"h10","7511","9502",249.677983448172
"h10","7511","9503",237.991262900978
"h10","7511","9504",1111.96310420192
"h10","7511","9506",308.565700709883
"h10","7511","9507",603.57933496262
"h10","7511","9509",1722.1708502799
"h10","7511","9510",749.791387935449
"h10","7511","9512",271.830311364817
"h10","7511","9513",484.981019795207
"h10","7512","7502",558.953674487835
"h10","7512","7503",585.116962773982
"h10","7512","7504",511.363313212757
"h10","7512","7505",282.482063823488
"h10","7512","7507",1610.12729900318
"h10","7512","7508",291.376919489653
"h10","7512","7511",1739.60656502808
"h10","7512","7513",1875.8324106392
"h10","7512","7514",394.47566332867
"h10","7512","7701",925.988125583733
"h10","7512","7702",436.236142332209
"h10","7512","7703",488.523947875369
"h10","7512","7705",232.315141150404
"h10","7512","7706",155.93220974979
"h10","7512","7708",585.409337011033
"h10","7512","7716",133.802176033591
"h10","7512","7806",566.5671987116
"h10","7512","7807",262.099314895554
"h10","7512","9104",122.7892463695
"h10","7512","9105",276.240370329327
"h10","7512","9106",146.153301952425
"h10","7512","9108",136.662763739706
"h10","7512","9201",1781.05927013257
"h10","7512","9203",1022.27653826622
"h10","7512","9204",254.467558918854
"h10","7512","9206",259.385573331644
"h10","7512","9209",189.276316993372
"h10","7512","9211",500.268835772434
"h10","7512","9302",385.790954602084
"h10","7512","9303",365.156484772375
"h10","7512","9304",425.148769756011
"h10","7512","9305",486.269241689901
"h10","7512","9306",219.548235008228
"h10","7512","9307",807.713414073909
"h10","7512","9308",260.577239002472
"h10","7512","9310",130.864209175612
"h10","7512","9311",1245.46249680806
"h10","7512","9312",1912.31333570069
"h10","7512","9402",759.312890858622
"h10","7512","9404",224.04575101859
"h10","7512","9405",282.854848930295
"h10","7512","9406",318.864703692029
"h10","7512","9408",216.308403009978
"h10","7512","9413",874.473514111285
"h10","7512","9501",323.128733059555
"h10","7512","9502",225.936795582239
"h10","7512","9503",477.4836894469
"h10","7512","9506",370.282911675051
"h10","7512","9507",1038.54341515658
"h10","7512","9509",390.405036398911
"h10","7512","9512",264.541872472221
"h10","7513","7501",1177.52301991924
"h10","7513","7502",506.79007521502
"h10","7513","7503",644.873340516032
"h10","7513","7504",799.826626525864
"h10","7513","7505",1305.05003991026
"h10","7513","7506",1187.14735592788
"h10","7513","7508",902.449346925246
"h10","7513","7509",813.153730823725
"h10","7513","7510",377.696747726225
"h10","7513","7511",2110.16181818152
"h10","7513","7514",1103.92199206233
"h10","7513","7701",264.830356815665
"h10","7513","7703",745.117721995247
"h10","7513","7704",312.9817213798
"h10","7513","7705",780.040827727669
"h10","7513","7707",218.764073848291
"h10","7513","7708",1299.29183891577
"h10","7513","7711",850.037538747064
"h10","7513","7716",278.597214244562
"h10","7513","7801",650.119561854564
"h10","7513","7805",279.922441902544
"h10","7513","7806",321.721143078435
"h10","7513","9101",136.699297266234
"h10","7513","9102",206.833468432936
"h10","7513","9105",271.139410395344
"h10","7513","9106",198.410052657382
"h10","7513","9107",457.527177766159
"h10","7513","9108",435.908797411292
"h10","7513","9109",273.238118098755
"h10","7513","9110",134.023531499041
"h10","7513","9111",232.114564692291
"h10","7513","9112",343.681689069305
"h10","7513","9202",507.213865446813
"h10","7513","9203",694.874074469537
"h10","7513","9204",190.292506352291
"h10","7513","9205",1235.6284005401
"h10","7513","9208",392.499071414462
"h10","7513","9209",1668.91156129847
"h10","7513","9211",581.115103714527
"h10","7513","9303",908.874611564341
"h10","7513","9304",629.801939398561
"h10","7513","9305",386.424107121019
"h10","7513","9307",662.40826645012
"h10","7513","9309",823.275340757232
"h10","7513","9311",501.000926779208
"h10","7513","9312",1180.96253080918
"h10","7513","9403",218.634938100247
"h10","7513","9404",360.438046280553
"h10","7513","9405",155.560944622929
"h10","7513","9406",282.219117756987
"h10","7513","9408",130.962782173358
"h10","7513","9410",106.614704782019
"h10","7513","9412",82.8597879151922
"h10","7513","9413",136.258522973086
"h10","7513","9503",281.377068125713
"h10","7513","9504",122.478642185106
"h10","7513","9505",494.897409672525
